cluster,gene,log2FC,t,p,FDR
3,TNFRSF1A,1.0730683,13.266039,2.4845211e-30,1.923774534225475e-27
3,MYOF,1.2103993,13.264047,2.1521676e-27,7.91321249689981e-25
3,SUMF1,1.3412027,13.250317,3.9000502e-25,7.120414413915531e-23
3,HCK,1.2799299,13.24846,4.4296278e-26,1.08580726291899e-23
3,APOBEC3C,1.3006564,13.246265,9.79845e-26,2.148181862280005e-23
3,GLMP,1.3262947,13.240768,2.540326e-25,4.9910616980047997e-23
3,CDCP1,1.3510939,13.238078,5.9308495999999995e-25,1.0314067638258097e-22
3,MMP19,1.3540767,13.232348,6.8219414e-25,1.155152134648511e-22
3,SOCS3,1.1581559,13.227368,2.7024533e-28,1.264649881859837e-25
3,TREM1,1.383048,13.217956,1.8611269999999998e-24,2.8512908790758002e-22
3,SYK,1.2213984,13.1828785,7.402372e-27,2.326338033798201e-24
3,CYTIP,1.2329859,13.147778,1.6544183e-26,4.6284151297959905e-24
3,LCP1,1.3301042,13.139279,6.424374699999999e-25,1.1023370734399641e-22
3,ALOX5AP,1.190498,13.128856,3.1895932e-27,1.1300362010125212e-24
3,ARHGAP9,1.2162247,13.116854,1.0893493e-26,3.1860990425194472e-24
3,THBD,1.370524,13.100952,3.0298183e-24,4.271964456410478e-22
3,RNF149,1.3332357,13.082043,1.1092284e-24,1.818427905987499e-22
3,RHOG,1.2941635,13.030363,4.549399e-25,8.075339588068699e-23
3,RRAS,1.2760752,13.025597,2.5013521999999997e-25,4.9522924853332646e-23
3,RHBDF2,1.2259028,13.008006,4.336467e-26,1.0731922015550693e-23
