sample_id,cluster,consensus_membership,consensus_own,consensus_best_other,is_core,silhouette_sample,library_batch,verhaak_nearest,sig_Proneural,sig_Classical,sig_Mesenchymal,sig_Neural,pw_MTC_OXPHOS,pw_GPM_GLYCOLYSIS_LIPID,pw_PPR_PROLIFERATION,pw_NEU_NEURONAL,pw_OLIGODENDROCYTE_MYELIN,pw_IMMUNE_MYELOID,pw_HYPOXIA_ANGIOGENESIS
6efd1a34-3261-4ad3-87cc-da685ba06d2b,5,0.6142,0.7507,0.1365,True,0.1267,totalRNA_rRNAdepleted,Neural,0.828,-0.1112,-0.3353,1.5575,0.0274,0.3741,-0.7168,2.3921,1.4204,-0.0133,-0.5793
41bdf255-88ed-4346-9033-7813b2c97d84,5,0.6066,0.7899,0.1834,True,0.1586,polyA_selected,Proneural,1.1917,-0.2708,0.2598,0.156,-0.5312,0.4104,0.7566,0.1348,1.3584,0.4419,0.0361
23f3b0c8-dc66-445e-9d05-bd631e00f2ee,5,0.5743,0.7747,0.2005,True,0.1689,polyA_selected,Neural,0.7479,-1.0066,-0.4194,0.7835,0.7658,-0.3827,0.1662,1.0076,1.4077,0.4388,-0.9053
f54636e5-d823-4bc2-9475-2f4f81879067,5,0.5328,0.6975,0.1647,True,0.0506,polyA_selected,Proneural,0.9397,-0.3751,-0.2959,0.7893,-0.3333,0.0911,-0.236,-0.185,1.5212,0.1394,-0.1653
5b1cc683-d363-4cb8-b9b2-050c3c541858,5,0.4979,0.7408,0.2429,False,0.1395,polyA_selected,Proneural,0.7258,-0.3959,-0.7873,0.0561,0.2131,0.4591,-0.0415,0.6518,1.5469,-0.712,-0.1853
4a44bd40-1141-4524-a35f-f29ee37f6c63,5,0.4958,0.7337,0.2379,False,0.1239,polyA_selected,Proneural,0.481,0.0925,0.0912,-0.4079,-0.107,0.2565,0.2877,0.4423,0.805,-0.0639,0.8022
0c6b79d0-47aa-4c14-8ec5-bdbfe0faa29d,5,0.4664,0.7261,0.2597,False,0.1118,polyA_selected,Proneural,0.8659,-0.3779,-0.4042,0.1691,0.1106,0.3851,0.7817,0.9528,1.5478,-0.2672,0.4626
54c6eff1-866a-4b26-9778-6b085fc25123,5,0.4617,0.6626,0.2009,False,0.0401,polyA_selected,Classical,-0.001,0.3666,0.2785,-0.039,-0.1161,-0.1083,0.3709,-0.1861,1.155,0.2833,0.3897
a0910cd1-f12f-4215-bd3a-db593c810dc2,5,0.4267,0.7017,0.2751,False,0.0757,totalRNA_rRNAdepleted,Proneural,0.944,-0.4816,-0.23,0.1239,0.7912,-0.0557,1.0846,0.5681,0.7887,0.351,-0.1793
27388014-4a95-4b65-b488-79be5bf9f5b0,5,0.4034,0.6482,0.2448,False,0.0174,totalRNA_rRNAdepleted,Proneural,0.7505,-0.4019,0.0569,0.2567,0.1364,0.0444,0.5276,0.2834,0.4951,0.3888,0.0699
c106d702-1803-4226-a120-f43bc28ae11c,5,0.3731,0.6064,0.2333,False,0.0377,totalRNA_rRNAdepleted,Proneural,0.4184,0.1349,0.314,-0.2715,-0.5765,0.8264,0.5314,0.386,0.1546,0.0397,0.5846
0819aec9-9ebc-4446-9174-08d564d32fcd,5,0.3194,0.5604,0.241,False,0.0071,totalRNA_rRNAdepleted,Neural,0.1697,0.4711,-0.7039,0.4738,0.4915,0.0023,-0.0572,0.5543,0.5171,-0.6584,-0.6166
141d1d6b-251b-48cf-abfd-bdbfdd0605b7,5,0.2651,0.5398,0.2748,False,-0.0103,totalRNA_rRNAdepleted,Classical,0.0059,0.468,-0.2148,0.2483,0.5676,-0.1102,0.3842,0.7411,0.3943,0.0844,0.6771
