cluster,gene,log2FC,t,p,FDR
0,RPLP2,1.2054043,9.020931,1.5280238e-12,5.7413543829940606e-11
0,NDUFA3,1.3119073,9.008073,3.3124126e-12,1.0590667721681368e-10
0,SELENOW,1.4026295,9.002598,5.4508156e-12,1.5622839226202478e-10
0,PRADC1,1.3942702,8.935757,6.861371e-12,1.8648148331167563e-10
0,HSD17B10,1.2166309,8.922706,2.6024695e-12,8.919089109821871e-11
0,AL590867.2,1.135202,8.919131,1.3801946e-12,5.270541405223504e-11
0,RPS15,1.2571901,8.915196,3.5409976e-12,1.1141588928280935e-10
0,COPS9,1.3684368,8.907794,6.7986376e-12,1.8536370931596431e-10
0,PSENEN,1.1919218,8.895838,2.4542486e-12,8.524621884080826e-11
0,RPS14,1.2038442,8.883843,2.8318502e-12,9.536647317884736e-11
0,PPP4C,1.2511983,8.8599205,4.3438903e-12,1.3042153526540758e-10
0,SSR4,1.1821495,8.856518,2.7331165e-12,9.25591486496782e-11
0,PSMB4,1.0606086,8.788067,1.2948004e-12,5.0264816609287356e-11
0,TRMT112,1.2246732,8.75719,5.768006e-12,1.6242552938428094e-10
0,PSMB8,1.0803802,8.749902,1.9145855e-12,6.952022682097022e-11
0,CENPX,1.3214803,8.7451725,1.0528908e-11,2.6860654075015656e-10
0,GADD45GIP1,1.3375423,8.72584,1.2334845e-11,3.0380310622321303e-10
0,GPX1,1.0636786,8.717416,1.9163152e-12,6.952022682097022e-11
0,PRDX5,1.3047044,8.713077,1.1052678e-11,2.794438385121069e-10
0,BLOC1S1,1.2739908,8.703358,9.778408e-12,2.5370633192866784e-10
0,SNRPGP2,1.3562384,8.650601,1.8253043e-11,4.1538180067207745e-10
0,CDKN2C,0.7358019,8.635964,1.1884055e-14,1.3071444449159165e-12
0,PYM1,1.095509,8.634292,3.8897787e-12,1.2033067704646344e-10
0,SCAND1,1.149933,8.628835,6.165284e-12,1.7099362538935003e-10
0,POLR2J,1.1523323,8.625099,6.3844186e-12,1.7593378954492479e-10
0,FUNDC2,1.4682661,8.588306,3.5744182e-11,7.307257614282914e-10
0,HAX1,1.4050486,8.582145,2.9257426e-11,6.187572889921987e-10
0,RABAC1,1.3032101,8.576429,1.9372254e-11,4.369877929177186e-10
0,NDUFA4,1.2599255,8.5488825,1.7482522e-11,4.021136469178938e-10
