gene,gene_type,log2FC_g0_minus_g1,t,p,abs_t
ARSA,protein_coding,1.0634046,14.912417,1.1356263e-38,14.912417
AC106800.3,processed_pseudogene,-1.3730149,-14.911606,2.0742033e-37,14.911606
NAP1L4,protein_coding,0.9858217,14.911262,1.897484e-38,14.911262
SCAF4,protein_coding,1.174969,14.910875,1.1912539e-38,14.910875
RNY3P12,misc_RNA,-1.2026023,-14.90915,2.5753398e-34,14.90915
KCNV2,protein_coding,-0.7703805,-14.9083395,3.863089e-36,14.9083395
GDE1,protein_coding,0.7641468,14.907367,2.0372783e-38,14.907367
RNU5E-4P,snRNA,-1.6288384,-14.905151,4.0262628e-37,14.905151
Y_RNA,misc_RNA,-1.0337932,-14.903777,3.6906447e-35,14.903777
AC022898.1,lncRNA,-0.9965394,-14.900285,4.6513976e-36,14.900285
AL358115.1,lncRNA,-0.7702104,-14.899212,4.242116e-36,14.899212
HGSNAT,protein_coding,1.1413085,14.898109,1.2735438e-38,14.898109
PSMD2,protein_coding,0.9765625,14.895612,2.7107763e-38,14.895612
HMGN2P28,processed_pseudogene,-1.2830257,-14.895164,8.1913165e-38,14.895164
C6orf163,protein_coding,-1.095623,-14.89328,1.2299629e-36,14.89328
Y_RNA,misc_RNA,-1.6334641,-14.89275,2.588647e-38,14.89275
SMKR1,protein_coding,1.4976361,14.891011,3.3424948e-37,14.891011
MIR3136,miRNA,-1.3456949,-14.889904,1.7399793e-36,14.889904
TMEM178A,protein_coding,1.7603171,14.887109,3.195742e-38,14.887109
JMJD8,protein_coding,0.9976244,14.886619,2.5068179e-38,14.886619
RPN2,protein_coding,0.9450712,14.885168,2.649517e-38,14.885168
MID1IP1,protein_coding,1.1261635,14.885129,1.7976754e-38,14.885129
BEX4,protein_coding,1.4148474,14.884772,1.4755348e-38,14.884772
TSC22D1,protein_coding,1.3219848,14.884255,1.7369689e-38,14.884255
FBXO10,protein_coding,1.0802464,14.881724,2.4007026e-38,14.881724
ETF1P1,processed_pseudogene,-0.76846725,-14.881659,7.532246e-36,14.881659
SLC22A17,protein_coding,1.4640431,14.88129,2.0417821e-38,14.88129
ANKRD49,protein_coding,0.8721268,14.880417,1.822133e-38,14.880417
SUCLA2,protein_coding,0.9686303,14.877666,2.2620466e-38,14.877666
ZBTB9,protein_coding,0.99540544,14.876919,2.2649585e-38,14.876919
AC025271.3,lncRNA,-0.936911,-14.876696,5.63642e-35,14.876696
SPC25,protein_coding,1.7206762,14.876517,3.4047716e-38,14.876517
AC019069.1,lncRNA,1.3636863,14.876307,9.3591906e-38,14.876307
FAM200A,protein_coding,0.96545696,14.874666,2.4273973e-38,14.874666
AC018878.1,lncRNA,-0.8331745,-14.87466,6.234425e-34,14.87466
USF1,protein_coding,0.6894083,14.874369,2.2017983e-38,14.874369
SPDYE21,protein_coding,-1.0727055,-14.872898,1.5597307e-36,14.872898
RIC8A,protein_coding,0.7998619,14.872302,1.688478e-38,14.872302
AC008521.1,processed_pseudogene,-0.95692736,-14.869549,1.6107774e-34,14.869549
PPM1N,protein_coding,0.73318064,14.869319,2.3988136e-35,14.869319
RNU6-188P,snRNA,-1.1382934,-14.867539,1.9368692e-34,14.867539
PCDHGA5,protein_coding,-1.2906456,-14.865099,3.6499223e-38,14.865099
CHMP1B,protein_coding,0.7021084,14.864942,4.4075113e-38,14.864942
RPL37AP8,processed_pseudogene,0.9912555,14.863445,6.466162e-38,14.863445
DNAAF5,protein_coding,1.0029457,14.863249,1.6356258e-38,14.863249
NTAQ1,protein_coding,0.77514625,14.863083,1.7118803e-38,14.863083
LINC01767,lncRNA,-0.7916,-14.86237,7.9745416e-35,14.86237
HNRNPA1P10,processed_pseudogene,1.0994067,14.861576,1.6724424e-38,14.861576
MIR8073,miRNA,-1.3753227,-14.86099,5.2794654e-35,14.86099
AC005154.4,lncRNA,-1.3371279,-14.858979,7.4205603e-38,14.858979
FUCA2,protein_coding,1.0346189,14.857544,1.7199829e-38,14.857544
AC073127.1,lncRNA,-0.84506357,-14.856985,5.404874e-35,14.856985
AC003682.1,lncRNA,-1.0258657,-14.8555565,5.6472395e-37,14.8555565
LRRN4,protein_coding,-0.6559533,-14.854688,4.3080296e-37,14.854688
SLC38A3,protein_coding,1.8141794,14.85353,4.0762786e-38,14.85353
AC078883.2,lncRNA,-0.8203889,-14.852948,2.5040101e-36,14.852948
QPCT,protein_coding,1.2488165,14.852881,1.0015564e-37,14.852881
RN7SL653P,misc_RNA,-0.9018519,-14.852736,1.9015398e-34,14.852736
ETV2,protein_coding,0.77267504,14.850969,3.4225382e-36,14.850969
MTFR2,protein_coding,1.0309005,14.850393,6.8931323e-38,14.850393
MRPL39,protein_coding,0.9044876,14.8498955,2.359977e-38,14.8498955
GLIPR2,protein_coding,1.2290816,14.849427,4.5429917e-38,14.849427
TFCP2,protein_coding,1.2195611,14.849058,2.032925e-38,14.849058
Y_RNA,misc_RNA,-1.4223164,-14.848383,1.4817996e-37,14.848383
NPRL2,protein_coding,0.7587285,14.848057,1.9622214e-38,14.848057
C15orf39,protein_coding,1.1709397,14.846966,5.701827e-38,14.846966
NOLC1,protein_coding,1.0983038,14.846513,2.2235482e-38,14.846513
CHCHD4P4,processed_pseudogene,-1.0039303,-14.845838,4.1131433e-36,14.845838
MFSD13B,transcribed_unitary_pseudogene,-0.84278905,-14.845344,9.34688e-36,14.845344
MTFR1,protein_coding,0.90257597,14.843265,1.9759281e-38,14.843265
AL023803.3,lncRNA,-0.7359556,-14.840853,5.437923e-38,14.840853
AC021087.2,processed_pseudogene,-0.92129225,-14.840852,2.2720017e-35,14.840852
AC068533.3,lncRNA,-1.2271724,-14.84004,3.5338207e-37,14.84004
WIPI2,protein_coding,0.9108424,14.838718,3.084554e-38,14.838718
SLC45A1,protein_coding,1.2245378,14.836562,6.853179e-38,14.836562
INTS11,protein_coding,1.0014291,14.836148,2.5431398e-38,14.836148
RNU6ATAC34P,snRNA,-0.9247783,-14.835693,5.957806e-35,14.835693
NIP7,protein_coding,0.7855582,14.834394,2.1704006e-38,14.834394
AL050341.2,lncRNA,1.107966,14.832445,2.1762266e-38,14.832445
MIR140,miRNA,-1.1009817,-14.828235,4.7645906e-36,14.828235
GLRX5P3,processed_pseudogene,-0.9622545,-14.828225,1.6834655e-36,14.828225
FANCF,protein_coding,0.9367626,14.827483,2.525454e-38,14.827483
RPLP1P6,transcribed_processed_pseudogene,1.1729994,14.82724,2.7188872e-37,14.82724
JKAMP,protein_coding,1.0032053,14.826209,5.57911e-37,14.826209
AL162274.1,lncRNA,-0.9588555,-14.826086,4.0873274e-36,14.826086
ATP5MFP6,processed_pseudogene,-0.8045017,-14.82533,2.7646298e-35,14.82533
NR1H3,protein_coding,0.87823486,14.824471,4.414337e-38,14.824471
ADGRL4,protein_coding,1.3530235,14.823103,2.3421328e-38,14.823103
ARPC3P5,processed_pseudogene,0.771415,14.822311,2.966737e-36,14.822311
UBR4,protein_coding,-1.2192557,-14.821168,2.4111114e-38,14.821168
AL450344.3,lncRNA,-0.9221389,-14.820988,4.057041e-36,14.820988
C12orf29,protein_coding,0.9267311,14.820712,4.0845003e-38,14.820712
FPGT,protein_coding,1.0933459,14.820085,4.2727106e-38,14.820085
BFAR,protein_coding,0.7248378,14.818839,6.5196857e-38,14.818839
AC003102.1,lncRNA,1.1327928,14.81705,4.9188787e-37,14.81705
AC004461.1,processed_pseudogene,-1.0093896,-14.81576,3.686369e-36,14.81576
PSMB8-AS1,lncRNA,1.1446104,14.815711,2.9246186e-37,14.815711
AC027796.2,processed_pseudogene,-1.2753417,-14.815659,1.651578e-37,14.815659
ZBTB22,protein_coding,0.93744755,14.814603,3.593252e-38,14.814603
AC005740.2,processed_pseudogene,-0.66027284,-14.813977,6.6796346e-37,14.813977
AL390783.1,lncRNA,-0.9150637,-14.812834,1.563087e-33,14.812834
API5,protein_coding,0.95674944,14.812456,4.5194064e-37,14.812456
AC231657.2,unprocessed_pseudogene,-1.2798696,-14.809916,8.727829e-38,14.809916
PSME2P5,processed_pseudogene,-0.98385596,-14.809906,1.9266217e-36,14.809906
H3P3,processed_pseudogene,-0.9556037,-14.809178,1.4249649e-34,14.809178
WDFY3,protein_coding,-1.1105433,-14.8084755,5.9077785e-38,14.8084755
RNU6-141P,snRNA,-1.5580884,-14.808,1.0151461e-34,14.808
RPL7P52,processed_pseudogene,-0.8543006,-14.807682,2.0464034e-36,14.807682
AC090666.1,processed_pseudogene,-0.7876209,-14.806341,1.3946547e-34,14.806341
DNAJC1,protein_coding,0.878438,14.8055725,2.8398028e-38,14.8055725
POLR3F,protein_coding,0.82214165,14.804189,3.987023e-38,14.804189
AC139768.1,lncRNA,1.0426815,14.804059,3.3776915e-38,14.804059
RNU6-1112P,snRNA,-1.1633556,-14.80296,6.4259346e-35,14.80296
TRABD,protein_coding,1.0119557,14.802734,2.8268907e-38,14.802734
RNU6-43P,snRNA,-1.0094043,-14.802511,1.303126e-35,14.802511
MIR5585,miRNA,-1.569849,-14.802032,6.931013e-38,14.802032
Z86062.1,processed_pseudogene,-0.74152243,-14.800039,1.8960781e-35,14.800039
MCRIP2,protein_coding,0.85377955,14.798319,9.476718e-38,14.798319
RNA5SP320,rRNA_pseudogene,-0.94526017,-14.796076,1.2739392e-34,14.796076
AC016590.3,lncRNA,1.3200545,14.795207,2.2022565e-37,14.795207
TTLL11-IT1,lncRNA,-0.761176,-14.794777,7.2166715e-36,14.794777
SNORA63C,snoRNA,-1.824975,-14.794659,3.375502e-37,14.794659
THYN1,protein_coding,0.87600994,14.79369,1.0389559e-37,14.79369
AC091885.1,processed_pseudogene,-1.2089303,-14.793301,3.7756507e-34,14.793301
H3-3B,protein_coding,0.9470825,14.792728,5.1799762e-37,14.792728
DNAJB5,protein_coding,1.3711734,14.790434,4.2549716e-38,14.790434
APLP2,protein_coding,1.119039,14.790369,5.9132693e-38,14.790369
Y_RNA,misc_RNA,-0.9907064,-14.789928,1.661716e-33,14.789928
TMEM129,protein_coding,0.9960375,14.789162,3.1590491e-38,14.789162
ZNF808,protein_coding,-1.2165694,-14.784834,2.1960636e-37,14.784834
ADCY6-DT,lncRNA,1.0896204,14.784742,4.3939694e-36,14.784742
MLXIPL,protein_coding,1.3505546,14.784117,4.1909387e-36,14.784117
AL049840.2,lncRNA,-1.6891518,-14.783956,3.4032358e-38,14.783956
RPSAP15,processed_pseudogene,0.96423125,14.783502,6.382143e-37,14.783502
AC090877.1,transcribed_processed_pseudogene,-0.97726136,-14.781915,1.7133064e-34,14.781915
GTPBP3,protein_coding,1.1027734,14.780948,1.13211e-37,14.780948
ERVK3-1,protein_coding,0.9482727,14.780619,4.0694374e-38,14.780619
Y_RNA,misc_RNA,-1.1398208,-14.780048,2.6648627e-37,14.780048
NRBF2,protein_coding,0.8675742,14.777343,4.736593e-38,14.777343
RNU6-450P,snRNA,-1.2850839,-14.776683,5.051606e-35,14.776683
NAIP,protein_coding,-0.8098101,-14.775867,8.591548e-38,14.775867
RNU6-288P,snRNA,-1.3014445,-14.773707,1.2966568e-35,14.773707
MIR3117,miRNA,-1.9964421,-14.773364,6.823344e-38,14.773364
KRT8P39,processed_pseudogene,-1.5378584,-14.772882,9.885747e-38,14.772882
RPS6KA2-AS1,lncRNA,-0.74998415,-14.772025,3.541731e-36,14.772025
SLC29A1,protein_coding,1.4876542,14.771723,4.6304563e-38,14.771723
AC007036.1,lncRNA,-1.0759296,-14.771229,9.953184e-38,14.771229
AC104982.1,snoRNA,-1.3928119,-14.771144,4.4765713e-34,14.771144
H2BP9,processed_pseudogene,-0.91307974,-14.771086,2.8133902e-35,14.771086
AC246787.1,processed_pseudogene,1.1058936,14.770416,1.4624944e-37,14.770416
NNT-AS1,lncRNA,1.0000355,14.77031,4.01319e-38,14.77031
TBC1D7,protein_coding,0.9062414,14.767964,5.5661655e-38,14.767964
CFAP20,protein_coding,0.96959305,14.767785,3.8197008e-38,14.767785
OLIG1,protein_coding,2.7345405,14.764052,5.840338e-38,14.764052
AC105150.1,lncRNA,-0.9376901,-14.763907,2.0575556e-33,14.763907
KCTD5P1,processed_pseudogene,-0.8697612,-14.763456,1.0127721e-36,14.763456
AP000919.3,lncRNA,-0.7092761,-14.762228,2.4994494e-37,14.762228
Y_RNA,misc_RNA,-1.3403791,-14.76194,6.403264e-34,14.76194
RNU6-854P,snRNA,-0.938298,-14.760996,1.7748839e-34,14.760996
MIR151B,miRNA,-1.1523384,-14.756828,1.1550542e-34,14.756828
AL117342.1,processed_pseudogene,-0.9076103,-14.756595,2.0843583e-34,14.756595
AC009686.1,lncRNA,-0.83345354,-14.756083,2.4107796e-35,14.756083
NARF,protein_coding,0.9334824,14.754276,5.0208395e-38,14.754276
VPS33B,protein_coding,0.65757596,14.75184,4.724606e-38,14.75184
ZNF346-IT1,lncRNA,-1.1397103,-14.751575,1.8757271e-37,14.751575
MAP3K13,protein_coding,0.97885895,14.751518,5.9869227e-38,14.751518
AL133260.1,processed_pseudogene,1.1427841,14.75126,1.5245771e-37,14.75126
AC092718.1,lncRNA,-0.6675854,-14.75022,5.0510935e-37,14.75022
NAA38,protein_coding,0.9153757,14.74962,1.0143619e-35,14.74962
CHPF,protein_coding,1.4724078,14.748833,5.117382e-38,14.748833
CARD8-AS1,lncRNA,0.9228828,14.748666,2.3506547e-36,14.748666
AL354766.2,lncRNA,-1.3904648,-14.7477865,9.699934e-37,14.7477865
SFXN3,protein_coding,0.993021,14.747252,6.7264193e-38,14.747252
RNU6-920P,snRNA,-1.4055861,-14.744332,4.8299957e-36,14.744332
AC025766.1,lncRNA,-0.97058433,-14.744061,2.480866e-37,14.744061
RPL9P30,processed_pseudogene,-0.98745465,-14.743828,1.956332e-34,14.743828
HMGN2P6,processed_pseudogene,0.9533264,14.741018,3.806859e-37,14.741018
RNA5SP42,rRNA_pseudogene,-1.0500644,-14.738499,2.5630229e-33,14.738499
POPDC2,protein_coding,0.85166335,14.7376,5.812943e-38,14.7376
SH2D3C,protein_coding,1.1192262,14.736012,6.8195165e-38,14.736012
AL139240.1,lncRNA,-1.1384357,-14.735596,1.4682066e-34,14.735596
RAB40C,protein_coding,0.9818201,14.73476,5.3859876e-38,14.73476
AC093166.2,processed_pseudogene,-0.8309955,-14.733474,1.2091106e-35,14.733474
BTF3P6,processed_pseudogene,-0.77349114,-14.733106,4.885523e-35,14.733106
RN7SKP57,misc_RNA,-0.91886467,-14.730954,7.226745e-35,14.730954
SLC50A1,protein_coding,0.9209373,14.729227,9.2640004e-38,14.729227
AC023154.1,lncRNA,-0.74578995,-14.725281,5.688037e-35,14.725281
RNU6-1026P,snRNA,-1.1066996,-14.724666,1.4150966e-33,14.724666
AC009145.4,TEC,-0.7517447,-14.72333,4.7632894e-35,14.72333
RNA5SP311,rRNA_pseudogene,-1.5573025,-14.721642,1.36164015e-36,14.721642
NDUFB7,protein_coding,0.97840405,14.720027,3.2374445e-36,14.720027
AC008467.1,lncRNA,-0.9088074,-14.718383,3.7985428e-35,14.718383
AC012459.1,lncRNA,-0.75921667,-14.718099,2.4196042e-35,14.718099
WDR83,protein_coding,0.7509568,14.717808,6.25531e-38,14.717808
SNX4,protein_coding,0.9649782,14.717469,3.1047615e-37,14.717469
PCYOX1L,protein_coding,0.90811133,14.717004,6.0267655e-38,14.717004
RNU6-597P,snRNA,-0.99971783,-14.715947,8.267983e-34,14.715947
AP001831.1,lncRNA,-0.85264343,-14.715383,7.366319e-36,14.715383
RNU6-1294P,snRNA,-1.1296562,-14.712901,1.9762526e-34,14.712901
STXBP1,protein_coding,1.5153086,14.711814,1.4756854e-37,14.711814
AC084882.1,lncRNA,-1.1360664,-14.711052,6.3947633e-35,14.711052
Y_RNA,misc_RNA,-1.6470342,-14.710542,8.5598967e-38,14.710542
AC009812.4,lncRNA,1.1357476,14.709554,6.408646e-38,14.709554
TAS2R64P,transcribed_unprocessed_pseudogene,-1.005663,-14.709209,2.5799325e-34,14.709209
CD160,protein_coding,-0.87169576,-14.70819,6.0540736e-36,14.70819
PCP2,protein_coding,-1.0231667,-14.70664,3.8480253e-36,14.70664
AP003071.1,lncRNA,-0.8843541,-14.700265,2.9935791e-34,14.700265
ING4,protein_coding,0.92999125,14.699484,2.9854444e-37,14.699484
MGST1,protein_coding,1.9688654,14.696912,1.8793163e-37,14.696912
RNA5SP301,rRNA_pseudogene,-1.4746183,-14.693757,2.1773562e-37,14.693757
RNU6-866P,snRNA,-1.0554466,-14.692789,2.838366e-36,14.692789
Z82243.1,lncRNA,-1.3087587,-14.692627,3.097646e-37,14.692627
LHX2,protein_coding,1.8674176,14.691719,1.8483339e-37,14.691719
EPB41L1,protein_coding,1.2436566,14.690947,7.918695e-38,14.690947
PTCSC3,lncRNA,-1.7050706,-14.684947,1.0972305e-34,14.684947
VCAN-AS1,lncRNA,-1.5449911,-14.683856,4.9553534e-34,14.683856
ARMT1,protein_coding,1.0348778,14.682416,4.0319433e-37,14.682416
CCDC167,protein_coding,1.2426109,14.681473,9.372549e-37,14.681473
H3C6,protein_coding,-1.7508819,-14.681291,1.5384865e-37,14.681291
MBIP,protein_coding,1.2707446,14.677111,8.601079e-38,14.677111
SYNE1,protein_coding,-1.3382766,-14.675798,1.2229085e-37,14.675798
EXOSC7,protein_coding,0.75498986,14.6755,2.10238e-37,14.6755
MIR380,miRNA,-1.6652936,-14.674267,9.343243e-34,14.674267
AC090181.2,lncRNA,-1.5949004,-14.673764,1.95609e-37,14.673764
Y_RNA,misc_RNA,-1.0261717,-14.672705,5.2760333e-34,14.672705
GLRX2,protein_coding,0.76436543,14.671039,1.8249053e-35,14.671039
AAGAB,protein_coding,0.7864623,14.669546,1.1378444e-37,14.669546
OSCAR,protein_coding,1.362618,14.66928,9.9675745e-37,14.66928
ASCC1,protein_coding,0.82213235,14.669232,9.660582e-38,14.669232
RUVBL1,protein_coding,0.9028373,14.66751,1.0482003e-37,14.66751
RGL2,protein_coding,0.90863323,14.666882,1.5894744e-37,14.666882
NIPSNAP1,protein_coding,1.0102634,14.665126,9.872505e-38,14.665126
AC018630.1,processed_pseudogene,-1.2605411,-14.665016,3.5613853e-33,14.665016
AL138963.2,processed_pseudogene,-0.86531276,-14.664768,6.3272687e-34,14.664768
SSH3,protein_coding,1.1914957,14.663503,1.9221732e-37,14.663503
AC012676.2,processed_pseudogene,-1.0431283,-14.663311,2.0654415e-36,14.663311
AP000943.3,TEC,-0.89748865,-14.660737,6.832022e-35,14.660737
SART1,protein_coding,1.2326813,14.660164,1.0104186e-37,14.660164
MIR3605,miRNA,-1.612933,-14.659718,1.0213633e-37,14.659718
HINT1P2,processed_pseudogene,-1.1072799,-14.658965,2.6731074e-34,14.658965
AC022679.2,lncRNA,-1.0652102,-14.65885,6.136786e-33,14.65885
H2AC6,protein_coding,-1.4500995,-14.658661,3.200571e-34,14.658661
MSANTD3,protein_coding,1.0207028,14.65807,1.0547145e-37,14.65807
GAS5,lncRNA,1.2499456,14.656597,1.3173466e-36,14.656597
AC245033.2,lncRNA,-0.8012538,-14.655521,8.087656e-37,14.655521
FBXL16,protein_coding,2.1061103,14.654729,1.5640901e-35,14.654729
MIR3680-2,miRNA,-1.297204,-14.651506,6.716253e-36,14.651506
OSER1-DT,lncRNA,0.91633797,14.6509075,9.568878e-37,14.6509075
SAR1AP2,processed_pseudogene,-0.965219,-14.648678,4.410213e-33,14.648678
PCDHB18P,transcribed_unprocessed_pseudogene,-1.1885681,-14.648246,2.2315958e-37,14.648246
STAU1,protein_coding,1.0061588,14.6432495,1.3927166e-37,14.6432495
AC013716.1,lncRNA,-1.3070548,-14.640969,3.7598361e-34,14.640969
BNIP3P1,transcribed_processed_pseudogene,0.982897,14.640667,1.38863e-35,14.640667
ATAD2B,protein_coding,-1.12695,-14.638324,2.3935938e-37,14.638324
SYDE1,protein_coding,1.0833802,14.63827,1.2449593e-37,14.63827
MEG8,lncRNA,-1.225239,-14.638053,1.1602381e-34,14.638053
AC093838.2,transcribed_unprocessed_pseudogene,-0.96263105,-14.637878,1.0871839e-33,14.637878
HLA-G,protein_coding,0.91538334,14.637013,4.88891e-36,14.637013
MZT2B,protein_coding,0.71546173,14.633781,1.2567737e-37,14.633781
LAMP2,protein_coding,1.0559506,14.633621,4.670713e-37,14.633621
TTBK2,protein_coding,-0.98099685,-14.633358,1.827937e-37,14.633358
ZNF354A,protein_coding,1.268707,14.632373,6.1522455e-37,14.632373
AL121672.2,lncRNA,-1.2810003,-14.630061,6.638871e-37,14.630061
OAF,protein_coding,1.5145202,14.629472,2.4988046e-37,14.629472
AGAP1-IT1,lncRNA,-1.3989544,-14.628751,1.2592548e-36,14.628751
SATB2-AS1,lncRNA,1.0492693,14.628188,1.9137606e-36,14.628188
ILF2,protein_coding,0.9437647,14.62636,1.3495203e-37,14.62636
DDX56,protein_coding,0.9304638,14.625621,1.3689731e-37,14.625621
HLA-C,protein_coding,1.548666,14.625217,3.5205519e-37,14.625217
SH2B1,protein_coding,1.0418596,14.624855,1.3792319e-37,14.624855
CSTF3,protein_coding,0.9892633,14.624605,4.183542e-37,14.624605
RNU6-387P,snRNA,-1.5113189,-14.623456,2.5232917e-37,14.623456
COX6A1,protein_coding,0.8969979,14.622761,8.057462e-37,14.622761
MIR548S,miRNA,-1.0245601,-14.6212845,4.9601027e-33,14.6212845
PBX2,protein_coding,1.1362557,14.621032,1.4789665e-37,14.621032
PDE6G,protein_coding,0.832217,14.619908,3.447941e-36,14.619908
PRKAR1B,protein_coding,1.3343997,14.616232,1.6058567e-37,14.616232
NATD1,protein_coding,1.0221875,14.615624,1.4837908e-37,14.615624
ERVH48-1,protein_coding,-1.0379745,-14.614816,3.6711775e-37,14.614816
SOX21,protein_coding,1.7301314,14.614796,4.003737e-37,14.614796
TMEM250,protein_coding,0.90119123,14.613402,1.6006428e-37,14.613402
PMP22,protein_coding,1.334075,14.612652,1.6345828e-37,14.612652
CD276,protein_coding,1.1914377,14.612374,1.519602e-37,14.612374
TOM1,protein_coding,0.8786135,14.612214,1.7926543e-37,14.612214
RUVBL2,protein_coding,0.93412733,14.611286,1.849969e-37,14.611286
AGA,protein_coding,1.0644541,14.610658,1.7539028e-37,14.610658
AL118556.2,processed_pseudogene,-0.8888967,-14.610165,4.9899996e-33,14.610165
AP001330.4,lncRNA,1.1046394,14.607048,2.2407612e-37,14.607048
REXO4,protein_coding,1.0521312,14.606984,1.592744e-37,14.606984
AC009163.4,lncRNA,-0.87020296,-14.60552,4.0425205e-35,14.60552
RNU7-7P,snRNA,-1.3023219,-14.604047,7.6485186e-33,14.604047
CENPH,protein_coding,1.549598,14.603981,1.6923918e-37,14.603981
JAM2,protein_coding,1.3577752,14.602965,1.9238474e-37,14.602965
AC243654.1,lncRNA,-0.86651814,-14.601742,1.2069367e-36,14.601742
AL109936.1,processed_pseudogene,0.66331303,14.599903,8.190611e-36,14.599903
SMS,protein_coding,1.1050782,14.599753,1.754756e-37,14.599753
AC108471.3,lncRNA,-0.66611505,-14.599622,5.4144157e-36,14.599622
RPL36AP29,processed_pseudogene,-1.0312771,-14.599487,1.5534067e-36,14.599487
POLR3H,protein_coding,0.904176,14.597558,1.7322587e-37,14.597558
AC103810.1,transcribed_unprocessed_pseudogene,-1.1337221,-14.597487,5.4670758e-36,14.597487
DPP9,protein_coding,0.94851494,14.596219,1.7529944e-37,14.596219
NDRG3,protein_coding,1.113339,14.595722,2.080199e-37,14.595722
UBC,protein_coding,0.89158154,14.591141,2.0866897e-37,14.591141
AC073592.1,lncRNA,-1.4165862,-14.589981,1.1751022e-36,14.589981
ATP6V1D,protein_coding,0.8845105,14.589647,4.8786997e-37,14.589647
CRYZL1,protein_coding,0.83264303,14.589137,3.2992304e-36,14.589137
STAMBP,protein_coding,0.77867985,14.588431,1.38038e-36,14.588431
TOX2,protein_coding,1.5490427,14.587342,1.620419e-34,14.587342
SEM1P1,processed_pseudogene,1.1853127,14.586713,4.8296704e-37,14.586713
AC116651.1,lncRNA,-1.1172081,-14.586203,1.572224e-36,14.586203
AL138752.1,processed_pseudogene,-1.1427693,-14.5857525,1.5095338e-36,14.5857525
AC090616.4,processed_pseudogene,-0.9201087,-14.584979,4.305069e-34,14.584979
RHOJ,protein_coding,1.5902858,14.5833,4.1577243e-37,14.5833
ABHD3,protein_coding,0.9909153,14.579626,3.1324839e-37,14.579626
LGALS1,protein_coding,1.5042324,14.5793085,6.6646203e-37,14.5793085
AC145285.3,lncRNA,-1.1040033,-14.579266,4.1069218e-36,14.579266
RNY4P20,misc_RNA,-1.3797767,-14.579134,4.262463e-33,14.579134
RNU6-1169P,snRNA,-0.8445906,-14.578933,6.971804e-33,14.578933
MIR190A,miRNA,-1.0200857,-14.574445,4.6915184e-33,14.574445
TXNDC15,protein_coding,0.830163,14.571826,3.4047822e-37,14.571826
PTP4A2P1,processed_pseudogene,0.8835869,14.5716915,2.4213552e-37,14.5716915
LAMB4,protein_coding,-0.91628534,-14.569934,5.8863723e-35,14.569934
SETBP1-DT,lncRNA,0.82446533,14.569579,2.47241e-37,14.569579
PPP3CB,protein_coding,1.0523384,14.569068,9.6223915e-37,14.569068
RBP1,protein_coding,2.1059675,14.568908,1.26120225e-36,14.568908
LARP6,protein_coding,0.96277094,14.566875,2.2810455e-37,14.566875
AL049779.3,processed_pseudogene,-1.0617602,-14.566661,1.4294305e-36,14.566661
PRICKLE3,protein_coding,1.0136132,14.565261,7.802707e-37,14.565261
EXOSC9,protein_coding,0.9561479,14.564507,5.7925984e-37,14.564507
AL929410.1,unprocessed_pseudogene,-0.80613905,-14.564258,6.593369e-33,14.564258
Y_RNA,misc_RNA,-1.5434663,-14.561329,7.167743e-36,14.561329
ITGB1P1,processed_pseudogene,1.1960144,14.559924,4.7825146e-37,14.559924
HYDIN2,transcribed_unprocessed_pseudogene,-1.0596089,-14.559645,4.4524253e-35,14.559645
AP000240.1,lncRNA,1.0620482,14.5579815,4.2175743e-37,14.5579815
SNORD79,snoRNA,-1.2034011,-14.557118,3.0684565e-34,14.557118
HDGFL2,protein_coding,1.2201638,14.557028,2.5458026e-37,14.557028
AL136369.1,lncRNA,-1.083985,-14.556936,1.4587682e-34,14.556936
AL356273.3,TEC,-1.0235223,-14.555237,1.157381e-35,14.555237
TK1,protein_coding,1.4580958,14.554862,8.375883e-37,14.554862
CLASRP,protein_coding,1.1836078,14.55409,2.5859492e-37,14.55409
AC008731.1,lncRNA,-1.1262517,-14.552983,7.856781e-37,14.552983
AC008883.3,lncRNA,-0.7615408,-14.55174,1.15999665e-33,14.55174
WFS1,protein_coding,1.2835436,14.551405,3.1915707e-37,14.551405
AL445309.1,lncRNA,-1.2653644,-14.551145,1.2000354e-36,14.551145
INPP5K,protein_coding,0.84125566,14.550714,2.9444193e-37,14.550714
AC073349.4,lncRNA,-1.3595774,-14.54807,8.3933045e-36,14.54807
WDR5,protein_coding,1.1175337,14.547987,2.6933853e-37,14.547987
PAPSS1,protein_coding,0.92874765,14.546395,4.261721e-37,14.546395
AC025043.1,lncRNA,-0.7471342,-14.546061,2.4475408e-35,14.546061
RBM8B,processed_pseudogene,1.0203815,14.544579,2.7700442e-37,14.544579
CRCP,protein_coding,0.8040972,14.544234,5.144058e-37,14.544234
PRPS2,protein_coding,1.1902027,14.544187,2.9099882e-37,14.544187
AC012005.1,processed_pseudogene,-1.5543969,-14.542572,7.081289e-37,14.542572
U8,snoRNA,-1.3155177,-14.5401125,7.772539e-37,14.5401125
MIR154,miRNA,-1.6237178,-14.539653,5.172997e-33,14.539653
RNA5SP156,rRNA_pseudogene,-1.0496389,-14.538691,3.1015962e-33,14.538691
WASHC3,protein_coding,0.87694454,14.538025,3.1068937e-37,14.538025
AC009237.3,transcribed_unprocessed_pseudogene,-1.0894798,-14.53758,2.085052e-36,14.53758
