gene,gene_type,log2FC_g0_minus_g1,t,p,abs_t
RN7SKP36,misc_RNA,-2.7573714,-56.537327,0.0,56.537327
H3C3,protein_coding,-7.2202697,-56.50309,0.0,56.50309
RN7SL15P,misc_RNA,-2.8206563,-56.47458,0.0,56.47458
RN7SL546P,misc_RNA,-4.7628717,-56.27272,0.0,56.27272
MT-ND4L,protein_coding,7.381933,56.225105,0.0,56.225105
RN7SL14P,misc_RNA,-5.3651114,-55.886982,0.0,55.886982
SNORD3C,snoRNA,-5.155476,-55.834667,0.0,55.834667
H3C2,protein_coding,-7.8721433,-55.263535,0.0,55.263535
TRAPPC1,protein_coding,2.4882083,55.12944,0.0,55.12944
RN7SL760P,misc_RNA,-2.7050846,-55.05347,0.0,55.05347
BANF1,protein_coding,3.2819076,54.960197,0.0,54.960197
PCBP2P2,processed_pseudogene,3.1308918,54.70272,0.0,54.70272
MT-CYB,protein_coding,6.767204,54.35554,0.0,54.35554
RN7SL280P,misc_RNA,-4.409095,-54.2749,0.0,54.2749
H3C7,protein_coding,-7.822113,-54.259106,0.0,54.259106
RNU1-27P,snRNA,-5.096021,-54.104225,0.0,54.104225
RN7SL505P,misc_RNA,-2.8946521,-54.07583,0.0,54.07583
SNORA73B,snoRNA,-7.7076745,-53.906982,0.0,53.906982
CTDNEP1,protein_coding,2.7509496,53.845493,0.0,53.845493
SNORA37,snoRNA,-4.675144,-53.816677,0.0,53.816677
RN7SL359P,misc_RNA,-4.085501,-53.696014,0.0,53.696014
RN7SL559P,misc_RNA,-2.8990262,-53.679424,0.0,53.679424
MT-CO2,protein_coding,5.8528347,53.666645,0.0,53.666645
RN7SL753P,misc_RNA,-3.019271,-53.6657,0.0,53.6657
RN7SL564P,misc_RNA,-5.4481907,-53.20855,0.0,53.20855
RN7SL220P,misc_RNA,-2.995228,-52.9406,0.0,52.9406
RN7SL507P,misc_RNA,-4.540957,-52.870926,0.0,52.870926
Y_RNA,misc_RNA,-7.172966,-52.85105,0.0,52.85105
RPS15P4,processed_pseudogene,3.233969,52.757526,0.0,52.757526
RN7SKP86,misc_RNA,-2.770305,-52.743004,0.0,52.743004
MTND4P12,processed_pseudogene,4.6112823,52.520325,0.0,52.520325
RN7SL277P,misc_RNA,-5.832709,-52.496674,0.0,52.496674
H3C13,protein_coding,-6.0912886,-52.429806,0.0,52.429806
TECRP1,processed_pseudogene,3.2520742,52.385944,0.0,52.385944
H2BC4,protein_coding,-5.6543446,-52.160545,0.0,52.160545
RN7SL672P,misc_RNA,-5.215011,-52.151733,0.0,52.151733
SNORA80A,snoRNA,-5.893541,-52.140205,0.0,52.140205
SNORD3B-1,snoRNA,-5.1697173,-52.070187,0.0,52.070187
MTATP8P1,unprocessed_pseudogene,4.3201733,51.86485,0.0,51.86485
RN7SL735P,misc_RNA,-3.0919886,-51.829727,0.0,51.829727
H2BC10,protein_coding,-6.3878813,-51.75095,0.0,51.75095
H3C11,protein_coding,-6.1885357,-51.611973,0.0,51.611973
MANBAL,protein_coding,2.5658307,51.39247,0.0,51.39247
RTL8A,protein_coding,3.5611792,51.38418,0.0,51.38418
KRT10,protein_coding,3.4366958,51.261406,0.0,51.261406
RN7SKP269,misc_RNA,-3.151841,-51.110615,0.0,51.110615
PPIAP22,processed_pseudogene,3.0562,50.76284,0.0,50.76284
SNORA74B,snoRNA,-5.803667,-50.76246,0.0,50.76246
RN7SL518P,misc_RNA,-4.0641904,-50.699886,0.0,50.699886
RN7SL665P,misc_RNA,-4.751418,-50.548748,0.0,50.548748
RN7SL242P,misc_RNA,-1.8762225,-50.45945,0.0,50.45945
SNORA80B,snoRNA,-5.354222,-50.420967,0.0,50.420967
AC016739.1,processed_pseudogene,3.860711,50.392677,0.0,50.392677
SNORA79B,snoRNA,-5.614578,-50.32487,0.0,50.32487
RN7SKP119,misc_RNA,-2.4706705,-50.21784,0.0,50.21784
RN7SKP37,misc_RNA,-2.49944,-50.091175,0.0,50.091175
RN7SL411P,misc_RNA,-4.2261043,-49.978424,0.0,49.978424
RN7SL630P,misc_RNA,-3.9571261,-49.84003,0.0,49.84003
RN7SL430P,misc_RNA,-2.676448,-49.800125,0.0,49.800125
H2BC13,protein_coding,-5.8789997,-49.794846,0.0,49.794846
RN7SL769P,misc_RNA,-4.8366838,-49.639793,0.0,49.639793
RN7SL493P,misc_RNA,-4.998514,-49.430298,0.0,49.430298
RN7SL408P,misc_RNA,-4.635867,-49.16247,0.0,49.16247
H2AC16,protein_coding,-5.606446,-48.95625,0.0,48.95625
RN7SL711P,misc_RNA,-3.507179,-48.710007,0.0,48.710007
RN7SL362P,misc_RNA,-3.8395796,-48.429756,0.0,48.429756
SEPHS2,protein_coding,2.7824197,48.240643,0.0,48.240643
RN7SL188P,misc_RNA,-3.455348,-48.215042,0.0,48.215042
CSTB,protein_coding,2.5085983,48.04006,0.0,48.04006
SNORA23,snoRNA,-6.0403957,-48.036285,0.0,48.036285
RN7SL390P,misc_RNA,-2.8191009,-47.922173,0.0,47.922173
RN7SL473P,misc_RNA,-3.320757,-47.64549,0.0,47.64549
RNU1-2,snRNA,-4.3806567,-47.59827,0.0,47.59827
H4-16,protein_coding,-3.1463742,-47.578854,0.0,47.578854
LSM10,protein_coding,2.7237,47.554462,0.0,47.554462
RN7SKP162,misc_RNA,-2.26648,-47.468227,0.0,47.468227
H2BC18,protein_coding,-4.236863,-47.468147,0.0,47.468147
RNU1-28P,snRNA,-4.9646544,-47.415623,0.0,47.415623
SNORD13,snoRNA,-5.305531,-47.32242,0.0,47.32242
TMEM134,protein_coding,2.1397665,47.187534,0.0,47.187534
RN7SL300P,misc_RNA,-4.3825073,-47.083736,0.0,47.083736
SNORA47,snoRNA,-5.1875343,-46.98608,0.0,46.98608
RNU1-11P,snRNA,-3.970754,-46.967705,0.0,46.967705
TXN2,protein_coding,2.5858955,46.955864,0.0,46.955864
UBE2MP1,processed_pseudogene,2.4325404,46.931274,0.0,46.931274
RNY3P1,misc_RNA,-5.8256364,-46.882557,0.0,46.882557
RAB7A,protein_coding,2.6448922,46.877796,0.0,46.877796
RN7SKP166,misc_RNA,-3.5485382,-46.795452,0.0,46.795452
FAUP1,processed_pseudogene,2.759876,46.63078,0.0,46.63078
RN7SL381P,misc_RNA,-4.2303324,-46.51419,0.0,46.51419
H4C13,protein_coding,-6.473681,-46.50006,0.0,46.50006
SNORA74A,snoRNA,-5.643568,-46.348125,0.0,46.348125
RNU6-36P,snRNA,-4.823935,-46.30794,0.0,46.30794
PPDPF,protein_coding,3.4194565,46.219135,0.0,46.219135
RN7SL127P,misc_RNA,-4.063982,-46.17937,0.0,46.17937
H2AC13,protein_coding,-6.231535,-46.15617,0.0,46.15617
MT-ND5,protein_coding,6.201592,46.135323,0.0,46.135323
RN7SKP134,misc_RNA,-3.0867763,-46.048756,0.0,46.048756
RN7SL566P,misc_RNA,-3.386684,-45.993683,0.0,45.993683
PTMS,protein_coding,3.404252,45.970108,0.0,45.970108
RNU6-4P,snRNA,-4.672581,-45.853294,0.0,45.853294
RNU1-4,snRNA,-4.060019,-45.73937,0.0,45.73937
RN7SKP44,misc_RNA,-2.3320534,-45.675426,0.0,45.675426
RN7SL57P,misc_RNA,-2.1437087,-45.568264,0.0,45.568264
EIF3FP3,processed_pseudogene,2.2047694,45.52896,0.0,45.52896
