cluster,gene,log2FC,t,p,FDR
4,GCC2,1.0935802,10.189783,3.692937e-18,7.920734403471577e-16
4,BCLAF3,1.0076702,10.189317,6.0213872999999995e-19,1.8232760870183007e-16
4,ZC3H6,0.9727026,10.184173,2.722797e-19,9.733243244335351e-17
4,SLC35A3,1.0255783,10.158586,1.152418e-18,3.1554186779676593e-16
4,LRRC37A16P,1.0477539,10.148579,2.0056055e-18,4.824324756528888e-16
4,ZNF354B,1.002375,10.148159,7.42057e-19,2.1924340921621491e-16
4,HAUS3,0.8955994,10.146601,5.2445716e-20,2.876201520751264e-17
4,CFLAR,1.0873337,10.12131,5.401756e-18,1.0772565023180192e-15
4,PHC3,1.013553,10.114389,1.2509017e-18,3.319145234289567e-16
4,AC025917.1,1.1404066,10.100156,1.5996892e-17,2.4654371114719997e-15
4,AFF4,0.93135166,10.094183,2.0813458999999998e-19,7.900815036908047e-17
4,MAST4,1.1062292,10.090104,9.558491e-18,1.673581295809234e-15
4,STXBP3,1.0104169,10.078602,1.5482822999999999e-18,4.020082064546543e-16
4,DNAJB14,1.0710192,10.060431,6.185061e-18,1.196925571852858e-15
4,ELK4,0.95194215,10.057278,4.7411604e-19,1.4527141415885616e-16
4,BICRAL,0.92447567,10.056946,2.4121422e-19,8.997640013184314e-17
4,MKLN1,1.0361142,10.053282,3.2611422e-18,7.053384856114217e-16
4,NUFIP2,0.98548543,10.041516,1.1898936999999999e-18,3.223735354868669e-16
4,ZNF654,1.0198603,10.031331,2.7483782999999996e-18,6.151109659177705e-16
4,TMEM123,1.0194716,10.02518,2.858991e-18,6.289291160589837e-16
