cluster,Oligodendrocyte_myelin,Myeloid_microglia,Astrocyte,Neuron,Proliferation,Hypoxia_necrosis
0,20.0,12.5,22.5,7.5,22.5,15.0
1,16.3,0.0,2.0,16.3,57.1,8.2
2,0.0,6.2,32.3,9.2,35.4,16.9
3,3.2,63.5,0.0,0.0,1.6,31.7
4,19.4,9.0,16.4,19.4,19.4,16.4
5,45.5,2.3,2.3,36.4,6.8,6.8
