cluster,MTC_mitochondrial,GPM_glycolytic,PPR_proliferative,NEU_neuronal
0,72.5,7.5,15.0,5.0
1,8.2,0.0,63.3,28.6
2,26.2,15.4,55.4,3.1
3,19.0,73.0,4.8,3.2
4,6.0,19.4,34.3,40.3
5,9.1,9.1,6.8,75.0
