cluster,Proneural,Classical,Mesenchymal,Neural
0,17.5,32.5,15.0,35.0
1,98.0,2.0,0.0,0.0
2,7.7,81.5,4.6,6.2
3,0.0,0.0,98.4,1.6
4,16.4,22.4,37.3,23.9
5,45.5,11.4,6.8,36.4
