cluster,MES_like,AC_like,OPC_like,NPC_like
0,17.5,55.0,17.5,10.0
1,0.0,0.0,46.9,53.1
2,38.5,38.5,9.2,13.8
3,85.7,11.1,0.0,3.2
4,26.9,37.3,4.5,31.3
5,6.8,18.2,56.8,18.2
