sample_id,cluster,consensus_membership,consensus_own,consensus_best_other,is_core,silhouette_sample,library_batch,verhaak_nearest,sig_Proneural,sig_Classical,sig_Mesenchymal,sig_Neural,pw_MTC_OXPHOS,pw_GPM_GLYCOLYSIS_LIPID,pw_PPR_PROLIFERATION,pw_NEU_NEURONAL,pw_OLIGODENDROCYTE_MYELIN,pw_IMMUNE_MYELOID,pw_HYPOXIA_ANGIOGENESIS
c2bc46d6-7065-44ff-a21a-7a3676990fdb,2,0.791,0.8796,0.0886,True,0.2527,polyA_selected,Classical,-0.3663,0.4549,0.167,-0.6876,-0.5463,0.7844,-0.017,-0.7449,-1.0074,0.2506,0.483
0ad4aa09-9a11-464b-a080-cc9fad5da4ca,2,0.7817,0.8786,0.0969,True,0.1362,polyA_selected,Classical,0.412,0.6296,-0.1594,0.0283,-0.2867,-0.0629,0.4979,-0.1303,-0.8577,0.0759,0.0743
026ed595-4218-4379-8e2d-54b390cb2544,2,0.7797,0.8759,0.0963,True,0.0816,totalRNA_rRNAdepleted,Proneural,0.425,0.3574,-0.0396,0.0201,0.0906,0.3561,0.4994,-0.2174,0.5032,0.1752,0.161
93803595-0b8a-4d0b-9439-e1d7d1eb6fd4,2,0.7797,0.8741,0.0944,True,0.2787,totalRNA_rRNAdepleted,Classical,-0.4514,0.6913,0.1823,-0.731,0.204,-0.0101,0.4115,-0.8218,-0.9701,0.2767,0.5081
39bc453b-67d2-4059-bbaf-fa98dc9d2595,2,0.7796,0.8757,0.0961,True,0.2975,totalRNA_rRNAdepleted,Classical,-0.6747,0.7384,0.1953,-0.4377,0.2722,0.0534,-0.1046,-0.8576,-0.1024,0.3505,-0.1475
af0700ee-8602-4f6c-b104-dd4d19da99a8,2,0.7789,0.8758,0.0969,True,0.2518,totalRNA_rRNAdepleted,Classical,-0.4739,0.7887,-0.5773,-0.61,0.226,-0.3685,0.8053,-1.1551,-1.0104,-0.5466,-0.9226
fae111e5-9372-4e6d-8e0d-c158c478afc4,2,0.7748,0.8722,0.0973,True,0.3126,polyA_selected,Classical,-0.367,0.924,-0.3964,-0.7039,-0.1769,-0.2246,0.6036,-0.8183,-0.832,-0.4053,-0.7443
5b56daff-2531-46b1-a277-86b88b878c61,2,0.7695,0.8706,0.1012,True,0.1044,polyA_selected,Classical,0.5719,0.714,-0.4231,-0.1165,0.1395,0.4812,0.8061,0.9613,-0.0888,-0.8154,-0.0923
8c349685-4023-49dd-b32f-0b97f07a38a5,2,0.7682,0.8702,0.102,True,0.0805,totalRNA_rRNAdepleted,Classical,0.0849,0.3301,-0.0932,-0.0443,-0.3807,0.7838,0.326,0.4383,0.0643,-0.1472,0.6856
520c0e78-f0a3-4e46-8c8e-00cf654e100d,2,0.7662,0.8629,0.0967,True,0.1459,totalRNA_rRNAdepleted,Proneural,0.5304,0.2138,-0.3767,-0.2155,0.3622,-0.148,0.3946,0.1251,-0.3088,-0.0782,-0.1189
