variant,gene_set,n_pcs,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,BioValidity_ARI,BioValidity_NMI,min_cluster_size,size_balance,cluster_sizes
V1,MAD_2000_PC,20,Spectral,7,0.1216,114.1,2.1041,0.2847,0.1563,0.2431,34,0.557,"41,61,61,44,39,48,34"
V1,MAD_3000_PC,5,KMeans,3,0.3694,330.3,1.1686,0.6845,0.0419,0.0573,78,0.553,"109,141,78"
V1,MAD_3000_PC,5,KMeans,4,0.282,277.8,1.3467,0.5105,0.0799,0.0967,56,0.509,"77,85,110,56"
V1,MAD_3000_PC,5,KMeans,5,0.239,237.1,1.4426,0.4007,0.0914,0.1311,48,0.585,"80,82,61,57,48"
V1,MAD_3000_PC,5,KMeans,6,0.2393,211.4,1.4896,0.3425,0.1479,0.2209,44,0.512,"44,86,52,47,44,55"
V1,MAD_3000_PC,5,KMeans,7,0.2123,194.7,1.5125,0.2761,0.1757,0.265,38,0.691,"48,48,44,43,52,38,55"
V1,MAD_3000_PC,5,Ward,3,0.3621,310.3,1.1746,0.7424,0.0676,0.1129,51,0.362,"141,136,51"
V1,MAD_3000_PC,5,Ward,4,0.2557,251.5,1.4318,0.5591,0.0998,0.1307,51,0.375,"136,70,51,71"
V1,MAD_3000_PC,5,Ward,5,0.212,221.9,1.5856,0.3902,0.1032,0.1377,51,0.708,"51,70,72,71,64"
V1,MAD_3000_PC,5,Ward,6,0.2156,192.5,1.5079,0.3705,0.0909,0.1502,15,0.208,"70,71,72,36,64,15"
V1,MAD_3000_PC,5,Ward,7,0.1987,174.3,1.5549,0.3267,0.0962,0.1678,15,0.208,"72,71,40,36,64,15,30"
V1,MAD_3000_PC,5,GMM,3,0.3654,270.2,1.179,0.8474,0.0298,0.0705,41,0.219,"41,187,100"
V1,MAD_3000_PC,5,GMM,4,0.2547,249.7,1.4317,0.5484,0.0443,0.0785,44,0.361,"97,122,65,44"
V1,MAD_3000_PC,5,GMM,5,0.228,201.0,1.5083,0.4895,0.0882,0.1481,17,0.139,"17,122,71,53,65"
V1,MAD_3000_PC,5,GMM,6,0.1924,173.7,1.7168,0.39,0.0666,0.1316,28,0.277,"28,101,74,35,39,51"
V1,MAD_3000_PC,5,GMM,7,0.1717,168.7,1.832,0.2834,0.0669,0.1365,36,0.581,"38,51,41,36,43,57,62"
V1,MAD_3000_PC,5,Spectral,3,0.3661,329.2,1.1817,0.6783,0.0349,0.0489,85,0.603,"141,85,102"
V1,MAD_3000_PC,5,Spectral,4,0.2715,274.7,1.378,0.4981,0.0795,0.0964,62,0.608,"79,102,85,62"
V1,MAD_3000_PC,5,Spectral,5,0.247,221.6,1.3506,0.4407,0.0957,0.1312,36,0.353,"44,102,85,36,61"
V1,MAD_3000_PC,5,Spectral,6,0.2037,200.4,1.4066,0.3401,0.1532,0.1992,36,0.456,"44,49,79,36,59,61"
V1,MAD_3000_PC,5,Spectral,7,0.2066,179.9,1.4123,0.3051,0.1741,0.2519,29,0.367,"40,79,49,29,59,35,37"
V1,MAD_3000_PC,8,KMeans,3,0.3169,252.6,1.3624,0.6764,0.0277,0.0403,89,0.631,"89,141,98"
V1,MAD_3000_PC,8,KMeans,4,0.2336,205.5,1.5593,0.5075,0.0669,0.0866,51,0.52,"51,98,90,89"
V1,MAD_3000_PC,8,KMeans,5,0.2008,172.3,1.6903,0.3989,0.1053,0.1466,52,0.584,"52,59,89,64,64"
V1,MAD_3000_PC,8,KMeans,6,0.1995,151.1,1.7228,0.3493,0.1391,0.2234,41,0.456,"54,90,51,41,51,41"
V1,MAD_3000_PC,8,KMeans,7,0.1785,136.3,1.7682,0.2872,0.1711,0.2679,33,0.485,"41,33,68,54,50,42,40"
V1,MAD_3000_PC,8,Ward,3,0.3047,245.0,1.4234,0.6768,0.0306,0.0443,88,0.624,"141,99,88"
V1,MAD_3000_PC,8,Ward,4,0.2226,194.9,1.5513,0.5455,0.0551,0.0897,33,0.306,"99,108,88,33"
V1,MAD_3000_PC,8,Ward,5,0.1975,162.3,1.6087,0.4557,0.0755,0.1333,33,0.306,"88,108,48,33,51"
V1,MAD_3000_PC,8,Ward,6,0.1863,141.0,1.7668,0.3893,0.0908,0.1844,33,0.306,"108,55,48,33,51,33"
V1,MAD_3000_PC,8,Ward,7,0.1616,127.6,1.8607,0.3022,0.1298,0.2276,31,0.403,"48,55,77,33,51,33,31"
V1,MAD_3000_PC,8,GMM,3,0.2711,218.0,1.7825,0.6768,0.0764,0.096,88,0.624,"99,141,88"
V1,MAD_3000_PC,8,GMM,4,0.1788,169.8,1.881,0.5516,0.102,0.1251,31,0.282,"87,31,100,110"
V1,MAD_3000_PC,8,GMM,5,0.188,154.8,1.7362,0.4483,0.1074,0.1559,31,0.282,"55,110,76,56,31"
V1,MAD_3000_PC,8,GMM,6,0.1455,134.6,1.8927,0.3482,0.1512,0.2103,24,0.338,"71,61,24,55,46,71"
V1,MAD_3000_PC,8,GMM,7,0.1055,113.9,2.0947,0.2954,0.1473,0.2143,26,0.406,"37,55,34,26,52,60,64"
V1,MAD_3000_PC,8,Spectral,3,0.3162,250.8,1.3618,0.6857,0.042,0.0571,77,0.546,"110,141,77"
V1,MAD_3000_PC,8,Spectral,4,0.2364,203.0,1.5406,0.5286,0.0775,0.1039,44,0.4,"97,110,77,44"
V1,MAD_3000_PC,8,Spectral,5,0.1998,167.0,1.6401,0.4217,0.1129,0.1701,44,0.454,"97,50,81,44,56"
V1,MAD_3000_PC,8,Spectral,6,0.165,143.6,1.7246,0.3425,0.1627,0.2442,39,0.481,"56,50,81,63,39,39"
V1,MAD_3000_PC,8,Spectral,7,0.1596,123.6,1.7238,0.3081,0.1646,0.2588,31,0.383,"50,32,81,31,56,32,46"
V1,MAD_3000_PC,10,KMeans,3,0.3,230.7,1.4249,0.6764,0.0277,0.0403,89,0.631,"141,98,89"
V1,MAD_3000_PC,10,KMeans,4,0.2161,185.6,1.6392,0.5061,0.0698,0.0901,52,0.531,"98,89,89,52"
V1,MAD_3000_PC,10,KMeans,5,0.1859,154.5,1.7873,0.3989,0.1053,0.1466,52,0.584,"64,89,59,64,52"
V1,MAD_3000_PC,10,KMeans,6,0.1846,134.8,1.8162,0.3481,0.142,0.2261,40,0.449,"55,89,40,52,42,50"
V1,MAD_3000_PC,10,KMeans,7,0.1562,120.6,1.872,0.2771,0.1743,0.2667,40,0.702,"40,51,43,44,57,52,41"
V1,MAD_3000_PC,10,Ward,3,0.2871,222.9,1.5028,0.6756,0.0371,0.0492,93,0.66,"141,94,93"
V1,MAD_3000_PC,10,Ward,4,0.1902,174.7,1.7463,0.5131,0.0745,0.1036,47,0.5,"94,94,93,47"
V1,MAD_3000_PC,10,Ward,5,0.163,142.9,1.8371,0.4324,0.0909,0.146,44,0.468,"93,94,50,47,44"
V1,MAD_3000_PC,10,Ward,6,0.1474,124.1,1.9391,0.3582,0.1185,0.1764,35,0.372,"94,58,50,47,44,35"
V1,MAD_3000_PC,10,Ward,7,0.1209,110.2,2.0948,0.2777,0.143,0.2054,35,0.603,"58,47,50,48,44,35,46"
V1,MAD_3000_PC,10,GMM,3,0.2755,197.3,1.6687,0.7662,0.0459,0.0905,44,0.308,"44,141,143"
V1,MAD_3000_PC,10,GMM,4,0.1149,141.9,2.3612,0.5941,0.0599,0.1029,41,0.281,"70,41,71,146"
V1,MAD_3000_PC,10,GMM,5,0.1301,117.1,2.2058,0.5529,0.11,0.1932,29,0.2,"29,145,36,76,42"
V1,MAD_3000_PC,10,GMM,6,0.1336,114.3,2.0068,0.4012,0.1273,0.1913,25,0.275,"91,47,25,91,49,25"
V1,MAD_3000_PC,10,GMM,7,0.1277,105.8,2.0407,0.333,0.1221,0.2003,26,0.292,"26,63,26,34,89,34,56"
V1,MAD_3000_PC,10,Spectral,3,0.2999,228.3,1.4268,0.6883,0.0416,0.0569,75,0.532,"141,75,112"
V1,MAD_3000_PC,10,Spectral,4,0.2178,181.8,1.6164,0.5352,0.0777,0.1063,42,0.375,"99,112,75,42"
V1,MAD_3000_PC,10,Spectral,5,0.1854,149.9,1.7479,0.4236,0.1086,0.1619,42,0.424,"99,79,52,56,42"
V1,MAD_3000_PC,10,Spectral,6,0.1561,128.9,1.8564,0.3386,0.1559,0.2248,39,0.5,"40,62,56,78,53,39"
V1,MAD_3000_PC,10,Spectral,7,0.1492,110.6,1.8651,0.3034,0.162,0.2461,31,0.397,"34,53,78,34,42,56,31"
V1,MAD_3000_PC,15,KMeans,3,0.2752,203.2,1.5293,0.6764,0.0277,0.0403,89,0.631,"89,141,98"
V1,MAD_3000_PC,15,KMeans,4,0.1933,161.4,1.7689,0.5061,0.0698,0.0901,52,0.531,"89,52,98,89"
V1,MAD_3000_PC,15,KMeans,5,0.1642,133.0,1.9377,0.399,0.1043,0.1448,52,0.584,"89,63,52,65,59"
V1,MAD_3000_PC,15,KMeans,6,0.1619,115.3,1.9727,0.3484,0.1398,0.2244,40,0.449,"51,52,41,89,40,55"
V1,MAD_3000_PC,15,KMeans,7,0.1413,102.0,1.9727,0.2989,0.1771,0.2788,22,0.297,"51,74,52,22,43,45,41"
V1,MAD_3000_PC,15,Ward,3,0.2596,190.0,1.5016,0.7699,0.0294,0.0637,43,0.299,"141,144,43"
V1,MAD_3000_PC,15,Ward,4,0.1635,144.2,1.9361,0.5876,0.071,0.1204,43,0.299,"144,65,43,76"
V1,MAD_3000_PC,15,Ward,5,0.1223,121.7,2.2355,0.3975,0.0718,0.1147,43,0.566,"65,73,43,76,71"
V1,MAD_3000_PC,15,Ward,6,0.1139,104.6,2.1491,0.3714,0.0784,0.146,14,0.184,"73,71,43,76,51,14"
V1,MAD_3000_PC,15,Ward,7,0.105,92.6,2.0527,0.3239,0.0918,0.1687,14,0.184,"71,76,43,42,51,14,31"
V1,MAD_3000_PC,15,GMM,3,0.2513,174.1,1.8958,0.7521,0.0485,0.0953,48,0.34,"48,141,139"
V1,MAD_3000_PC,15,GMM,4,0.1215,131.7,2.2797,0.5704,0.0674,0.1012,48,0.345,"48,77,64,139"
V1,MAD_3000_PC,15,GMM,5,0.1084,107.6,2.2996,0.5102,0.0922,0.1493,33,0.239,"33,138,56,49,52"
V1,MAD_3000_PC,15,GMM,6,0.1342,106.5,2.0282,0.3746,0.1212,0.1884,29,0.296,"44,29,68,98,44,45"
V1,MAD_3000_PC,15,Spectral,3,0.2745,202.2,1.5425,0.6783,0.0339,0.0459,85,0.603,"141,85,102"
V1,MAD_3000_PC,15,Spectral,4,0.1947,159.7,1.7532,0.5212,0.0692,0.0921,44,0.431,"102,85,97,44"
V1,MAD_3000_PC,15,Spectral,5,0.1649,130.2,1.9311,0.4177,0.1083,0.1563,44,0.454,"55,44,77,97,55"
V1,MAD_3000_PC,15,Spectral,6,0.1363,111.0,2.0555,0.3362,0.1542,0.2214,39,0.506,"60,77,55,55,42,39"
V1,MAD_3000_PC,15,Spectral,7,0.1323,100.4,2.0457,0.2824,0.1841,0.2896,39,0.65,"40,42,39,60,60,48,39"
V1,MAD_3000_PC,20,KMeans,3,0.2625,188.7,1.5876,0.6761,0.0273,0.0391,90,0.638,"97,141,90"
V1,MAD_3000_PC,20,KMeans,4,0.1823,149.0,1.8392,0.5058,0.0693,0.089,52,0.536,"52,97,89,90"
V1,MAD_3000_PC,20,KMeans,5,0.1533,122.3,2.016,0.3991,0.1082,0.1527,52,0.584,"64,89,65,58,52"
V1,MAD_3000_PC,20,KMeans,6,0.1509,105.6,2.0668,0.3479,0.1424,0.2264,41,0.461,"51,52,41,89,41,54"
V1,MAD_3000_PC,20,KMeans,7,0.1259,93.3,2.2034,0.2755,0.1631,0.2446,41,0.759,"51,51,41,44,46,54,41"
V1,MAD_3000_PC,20,Ward,3,0.2532,180.7,1.664,0.6897,0.0232,0.0396,74,0.525,"141,113,74"
V1,MAD_3000_PC,20,Ward,4,0.1595,138.6,1.9271,0.5432,0.0602,0.097,39,0.345,"113,102,74,39"
V1,MAD_3000_PC,20,Ward,5,0.1336,114.8,2.1549,0.4302,0.1001,0.1529,39,0.382,"74,102,46,39,67"
V1,MAD_3000_PC,20,Ward,6,0.1272,97.8,2.1272,0.3801,0.1199,0.1975,36,0.353,"46,102,36,39,67,38"
V1,MAD_3000_PC,20,Ward,7,0.1299,86.4,1.9821,0.3621,0.1077,0.2069,17,0.167,"102,39,36,29,67,38,17"
V1,MAD_3000_PC,20,GMM,3,0.2476,166.4,1.8328,0.7521,0.0392,0.0689,48,0.34,"48,141,139"
V1,MAD_3000_PC,20,GMM,4,0.1344,128.2,2.1731,0.5658,0.0728,0.098,51,0.375,"84,51,136,57"
V1,MAD_3000_PC,20,GMM,5,0.1259,104.3,2.2027,0.5022,0.1023,0.1584,34,0.26,"131,73,56,34,34"
V1,MAD_3000_PC,20,GMM,6,0.1184,97.6,2.1946,0.3598,0.0669,0.1099,18,0.214,"57,58,84,57,18,54"
V1,MAD_3000_PC,20,Spectral,3,0.2606,187.0,1.5832,0.6897,0.0446,0.0605,74,0.525,"113,141,74"
V1,MAD_3000_PC,20,Spectral,4,0.1831,147.3,1.8274,0.523,0.0772,0.0972,47,0.427,"110,47,77,94"
V1,MAD_3000_PC,20,Spectral,5,0.1528,119.7,2.031,0.4167,0.1104,0.1557,45,0.469,"96,78,56,45,53"
V1,MAD_3000_PC,20,Spectral,6,0.1254,101.7,2.1831,0.3365,0.1574,0.2236,37,0.474,"58,78,46,56,37,53"
V1,MAD_3000_PC,20,Spectral,7,0.1234,91.8,2.1517,0.2822,0.1786,0.2856,38,0.623,"39,38,45,61,48,39,58"
V1,MAD_5000_PC,5,KMeans,3,0.3421,251.5,1.2194,0.6845,0.0419,0.0573,78,0.553,"78,141,109"
V1,MAD_5000_PC,5,KMeans,4,0.2791,216.8,1.3613,0.5104,0.0851,0.1027,55,0.505,"55,78,109,86"
V1,MAD_5000_PC,5,KMeans,5,0.2494,186.9,1.4466,0.4028,0.1073,0.1594,50,0.581,"56,83,50,53,86"
V1,MAD_5000_PC,5,KMeans,6,0.2298,166.0,1.4153,0.3555,0.1288,0.1916,23,0.295,"53,44,78,55,23,75"
V1,MAD_5000_PC,5,KMeans,7,0.2243,153.9,1.4421,0.3022,0.167,0.2463,22,0.293,"75,39,50,41,44,57,22"
V1,MAD_5000_PC,5,Ward,3,0.3357,243.1,1.2535,0.6943,0.0351,0.0517,71,0.504,"141,71,116"
V1,MAD_5000_PC,5,Ward,4,0.2483,198.3,1.492,0.5181,0.0898,0.1285,57,0.491,"71,57,116,84"
V1,MAD_5000_PC,5,Ward,5,0.2292,165.3,1.4802,0.4719,0.1028,0.179,34,0.293,"116,57,34,84,37"
V1,MAD_5000_PC,5,Ward,6,0.1981,147.6,1.5763,0.3775,0.1162,0.2129,30,0.349,"57,86,34,84,37,30"
V1,MAD_5000_PC,5,Ward,7,0.1899,137.8,1.4743,0.3535,0.1185,0.2247,16,0.186,"86,84,34,41,37,30,16"
V1,MAD_5000_PC,5,GMM,3,0.3436,204.2,1.185,0.8702,0.0241,0.0649,32,0.171,"32,187,109"
V1,MAD_5000_PC,5,GMM,4,0.2403,187.8,1.4791,0.5457,0.0331,0.0711,34,0.318,"107,104,34,83"
V1,MAD_5000_PC,5,GMM,5,0.1898,148.3,1.5821,0.473,0.0509,0.0971,14,0.136,"49,84,14,103,78"
V1,MAD_5000_PC,5,GMM,6,0.1578,142.7,1.793,0.3602,0.1035,0.1513,16,0.205,"61,16,78,62,48,63"
V1,MAD_5000_PC,5,GMM,7,0.1714,128.3,1.7221,0.3181,0.0886,0.1598,20,0.244,"45,20,82,65,36,41,39"
V1,MAD_5000_PC,5,Spectral,3,0.3416,250.6,1.2259,0.6834,0.0342,0.0485,79,0.56,"141,79,108"
V1,MAD_5000_PC,5,Spectral,4,0.2786,215.3,1.3575,0.5145,0.085,0.1148,51,0.472,"90,108,79,51"
V1,MAD_5000_PC,5,Spectral,5,0.2507,174.5,1.4561,0.4408,0.0978,0.1373,43,0.398,"108,79,45,53,43"
V1,MAD_5000_PC,5,Spectral,6,0.2024,156.2,1.5522,0.329,0.1505,0.1908,43,0.606,"71,61,45,43,53,55"
V1,MAD_5000_PC,5,Spectral,7,0.2036,141.1,1.4661,0.299,0.1622,0.2283,29,0.414,"41,61,70,29,39,56,32"
V1,MAD_5000_PC,8,KMeans,3,0.2877,188.8,1.4318,0.6857,0.039,0.0541,77,0.546,"110,141,77"
V1,MAD_5000_PC,8,KMeans,4,0.229,156.8,1.5928,0.5166,0.0849,0.1055,52,0.468,"111,52,76,89"
V1,MAD_5000_PC,8,KMeans,5,0.2012,132.6,1.7,0.4083,0.1139,0.1731,47,0.528,"55,89,84,53,47"
V1,MAD_5000_PC,8,KMeans,6,0.1925,116.7,1.7481,0.349,0.1431,0.2325,39,0.438,"52,39,41,56,89,51"
V1,MAD_5000_PC,8,KMeans,7,0.168,105.9,1.745,0.2907,0.1674,0.2676,26,0.371,"41,70,54,26,41,50,46"
V1,MAD_5000_PC,8,Ward,3,0.2826,183.5,1.436,0.7078,0.0419,0.063,64,0.454,"141,123,64"
V1,MAD_5000_PC,8,Ward,4,0.2063,145.3,1.6795,0.5505,0.0898,0.1276,44,0.358,"123,44,64,97"
V1,MAD_5000_PC,8,Ward,5,0.1584,120.4,1.9369,0.4176,0.0964,0.1298,44,0.454,"74,44,64,97,49"
V1,MAD_5000_PC,8,Ward,6,0.1492,104.9,1.8138,0.3679,0.1012,0.1513,34,0.351,"44,97,64,40,49,34"
V1,MAD_5000_PC,8,Ward,7,0.1393,94.4,1.6968,0.3564,0.1064,0.1724,9,0.093,"97,40,64,35,49,34,9"
V1,MAD_5000_PC,8,GMM,3,0.2978,157.5,1.351,0.8822,0.0199,0.0589,28,0.15,"28,187,113"
V1,MAD_5000_PC,8,GMM,4,0.1862,132.6,1.847,0.5502,0.0985,0.1218,31,0.282,"95,31,92,110"
V1,MAD_5000_PC,8,GMM,5,0.1357,104.5,2.0891,0.4608,0.106,0.1255,19,0.202,"93,47,94,75,19"
V1,MAD_5000_PC,8,GMM,6,0.1051,95.6,2.0988,0.3612,0.1334,0.19,27,0.314,"69,61,86,27,40,45"
V1,MAD_5000_PC,8,GMM,7,0.1213,87.9,2.0302,0.3173,0.1279,0.194,28,0.337,"37,28,59,34,30,83,57"
V1,MAD_5000_PC,8,Spectral,3,0.2875,187.9,1.4232,0.6927,0.0442,0.0614,72,0.511,"141,72,115"
V1,MAD_5000_PC,8,Spectral,4,0.2333,155.0,1.5638,0.5396,0.0789,0.1083,42,0.365,"99,115,72,42"
V1,MAD_5000_PC,8,Spectral,5,0.1934,128.6,1.7499,0.4179,0.1242,0.1789,42,0.424,"99,69,64,42,54"
V1,MAD_5000_PC,8,Spectral,6,0.1659,109.9,1.7862,0.3419,0.1525,0.2167,31,0.449,"41,64,69,31,54,69"
V1,MAD_5000_PC,8,Spectral,7,0.1669,101.4,1.7463,0.2885,0.1667,0.251,31,0.449,"41,69,53,47,39,48,31"
V1,MAD_5000_PC,10,KMeans,3,0.2701,172.3,1.4902,0.6869,0.0416,0.0573,76,0.539,"111,76,141"
V1,MAD_5000_PC,10,KMeans,4,0.2119,141.5,1.6686,0.5166,0.0849,0.1055,52,0.468,"89,111,76,52"
V1,MAD_5000_PC,10,KMeans,5,0.1855,118.9,1.7876,0.4083,0.1139,0.1731,47,0.528,"89,84,55,53,47"
V1,MAD_5000_PC,10,KMeans,6,0.1772,104.1,1.8521,0.3466,0.1523,0.2361,41,0.461,"45,52,41,51,89,50"
V1,MAD_5000_PC,10,KMeans,7,0.1588,93.8,1.9126,0.2846,0.1687,0.2583,37,0.552,"67,41,37,37,45,50,51"
V1,MAD_5000_PC,10,Ward,3,0.2572,161.8,1.5399,0.6787,0.0411,0.0619,69,0.496,"139,120,69"
V1,MAD_5000_PC,10,Ward,4,0.1829,128.6,1.7928,0.5098,0.0787,0.1084,54,0.45,"120,54,69,85"
V1,MAD_5000_PC,10,Ward,5,0.1476,105.3,2.131,0.3868,0.1264,0.1721,54,0.635,"60,54,69,85,60"
V1,MAD_5000_PC,10,Ward,6,0.1493,91.1,1.8696,0.3869,0.1287,0.1765,4,0.047,"54,60,69,85,56,4"
V1,MAD_5000_PC,10,Ward,7,0.1369,81.7,1.8183,0.3639,0.1329,0.1928,4,0.047,"69,60,37,85,56,4,17"
V1,MAD_5000_PC,10,GMM,3,0.2325,144.4,1.8272,0.759,0.0416,0.0892,46,0.326,"141,141,46"
V1,MAD_5000_PC,10,GMM,4,0.0897,101.4,2.7986,0.6091,0.0533,0.0934,42,0.296,"42,45,142,99"
V1,MAD_5000_PC,10,GMM,5,0.0948,93.6,2.8111,0.4369,0.0936,0.1517,39,0.394,"99,87,42,61,39"
V1,MAD_5000_PC,10,GMM,6,0.0866,81.4,2.5329,0.3742,0.0717,0.1238,25,0.253,"55,42,52,25,99,55"
V1,MAD_5000_PC,10,GMM,7,0.1334,81.8,2.1142,0.3169,0.1056,0.1672,26,0.321,"28,34,53,63,81,43,26"
V1,MAD_5000_PC,10,Spectral,3,0.2711,171.3,1.4965,0.6912,0.0444,0.0607,73,0.518,"141,73,114"
V1,MAD_5000_PC,10,Spectral,4,0.2152,139.2,1.6428,0.5402,0.0782,0.1066,41,0.36,"100,114,73,41"
V1,MAD_5000_PC,10,Spectral,5,0.1769,114.6,1.8686,0.4194,0.1268,0.1695,41,0.41,"100,55,67,41,65"
V1,MAD_5000_PC,10,Spectral,6,0.149,98.8,1.9089,0.3458,0.1665,0.2089,22,0.328,"65,66,67,55,53,22"
V1,MAD_5000_PC,10,Spectral,7,0.1526,91.3,1.8506,0.2938,0.1774,0.2609,22,0.333,"55,66,50,53,41,41,22"
V1,MAD_5000_PC,15,KMeans,3,0.2451,151.6,1.6047,0.6857,0.039,0.0541,77,0.546,"110,141,77"
V1,MAD_5000_PC,15,KMeans,4,0.1886,122.9,1.8032,0.514,0.0809,0.0998,53,0.482,"88,77,53,110"
V1,MAD_5000_PC,15,KMeans,5,0.164,102.5,1.9329,0.4083,0.1139,0.1731,47,0.528,"47,53,55,89,84"
V1,MAD_5000_PC,15,KMeans,6,0.1572,89.1,2.0079,0.3486,0.1431,0.2321,40,0.449,"40,89,50,52,41,56"
V1,MAD_5000_PC,15,KMeans,7,0.1403,79.5,2.0893,0.2884,0.1625,0.263,36,0.529,"41,68,50,57,39,37,36"
V1,MAD_5000_PC,15,Ward,3,0.2375,138.7,1.6344,0.725,0.0619,0.107,50,0.36,"139,139,50"
V1,MAD_5000_PC,15,Ward,4,0.1796,109.7,1.8156,0.5835,0.0899,0.1473,38,0.273,"139,101,50,38"
V1,MAD_5000_PC,15,Ward,5,0.1304,91.5,2.1892,0.4184,0.1008,0.1551,38,0.376,"79,101,50,38,60"
V1,MAD_5000_PC,15,Ward,6,0.134,80.0,2.028,0.3691,0.114,0.1951,34,0.337,"34,101,50,38,60,45"
V1,MAD_5000_PC,15,Ward,7,0.1425,72.0,1.8394,0.3692,0.1145,0.2082,4,0.04,"101,38,50,30,60,45,4"
V1,MAD_5000_PC,15,GMM,3,0.2209,128.7,1.8799,0.7775,0.0368,0.0848,41,0.281,"146,141,41"
V1,MAD_5000_PC,15,GMM,4,0.1153,98.4,2.282,0.5945,0.0669,0.1107,41,0.281,"67,41,74,146"
V1,MAD_5000_PC,15,GMM,5,0.1724,74.5,2.1029,0.4843,0.0802,0.1618,32,0.241,"133,46,32,64,53"
V1,MAD_5000_PC,15,GMM,6,0.1124,79.3,2.2638,0.3562,0.1732,0.2434,36,0.414,"36,59,87,41,67,38"
V1,MAD_5000_PC,15,GMM,7,0.0915,70.4,2.239,0.2831,0.1236,0.2082,37,0.578,"64,37,44,37,42,50,54"
V1,MAD_5000_PC,15,Spectral,3,0.2459,150.7,1.6085,0.6912,0.0444,0.0607,73,0.518,"141,114,73"
V1,MAD_5000_PC,15,Spectral,4,0.1915,121.3,1.7779,0.536,0.0835,0.1131,43,0.377,"43,114,98,73"
V1,MAD_5000_PC,15,Spectral,5,0.1577,99.5,2.002,0.417,0.1227,0.1753,43,0.439,"98,43,73,59,55"
V1,MAD_5000_PC,15,Spectral,6,0.1345,84.9,2.1394,0.3474,0.1534,0.2237,33,0.452,"73,59,33,55,35,73"
V1,MAD_5000_PC,15,Spectral,7,0.1348,77.7,2.0776,0.2918,0.1693,0.2762,35,0.5,"58,35,36,40,51,38,70"
V1,MAD_5000_PC,20,KMeans,3,0.2302,140.7,1.6904,0.6764,0.0277,0.0403,89,0.631,"141,98,89"
V1,MAD_5000_PC,20,KMeans,4,0.1748,113.4,1.8901,0.5061,0.0698,0.0901,52,0.531,"89,89,52,98"
V1,MAD_5000_PC,20,KMeans,5,0.1568,94.1,1.9765,0.41,0.1076,0.1669,43,0.483,"89,43,59,53,84"
V1,MAD_5000_PC,20,KMeans,6,0.1472,81.5,2.0974,0.3514,0.1367,0.2263,40,0.44,"56,91,50,41,50,40"
V1,MAD_5000_PC,20,KMeans,7,0.1175,72.6,2.1852,0.287,0.1503,0.2506,31,0.477,"41,45,39,57,50,65,31"
V1,MAD_5000_PC,20,Ward,3,0.2253,130.3,1.675,0.7219,0.0589,0.0985,51,0.367,"139,138,51"
V1,MAD_5000_PC,20,Ward,4,0.1553,100.5,2.0054,0.5625,0.0962,0.1488,47,0.341,"138,47,51,92"
V1,MAD_5000_PC,20,Ward,5,0.1198,84.6,2.3329,0.3986,0.1045,0.1652,47,0.511,"47,67,51,92,71"
V1,MAD_5000_PC,20,Ward,6,0.1089,73.0,2.1846,0.3817,0.1068,0.1882,14,0.152,"67,71,51,92,33,14"
V1,MAD_5000_PC,20,Ward,7,0.1099,65.6,1.9816,0.3818,0.1062,0.1867,4,0.043,"71,92,51,63,33,14,4"
V1,MAD_5000_PC,20,GMM,3,0.2092,121.1,1.9518,0.7626,0.0357,0.0688,45,0.317,"142,141,45"
V1,MAD_5000_PC,20,GMM,4,0.1185,94.8,2.2467,0.5813,0.07,0.1022,45,0.317,"63,45,78,142"
V1,MAD_5000_PC,20,GMM,5,0.1621,68.3,2.2007,0.4782,0.0865,0.1752,38,0.29,"131,43,38,75,41"
V1,MAD_5000_PC,20,Spectral,3,0.2309,139.9,1.6568,0.6943,0.0442,0.0616,71,0.504,"141,71,116"
V1,MAD_5000_PC,20,Spectral,4,0.1791,112.1,1.8567,0.5352,0.0811,0.1076,45,0.388,"96,116,71,45"
V1,MAD_5000_PC,20,Spectral,5,0.1457,91.2,2.1289,0.4106,0.1339,0.1797,45,0.469,"96,58,62,45,67"
V1,MAD_5000_PC,20,Spectral,6,0.1235,76.8,2.163,0.3494,0.1533,0.2119,32,0.421,"76,58,62,33,32,67"
V1,MAD_5000_PC,20,Spectral,7,0.1251,70.6,2.0711,0.2959,0.1614,0.2605,29,0.403,"72,60,40,39,48,29,40"
V1,MAD_2000_ALL,5,KMeans,3,0.6222,1803.1,0.6304,0.6413,0.0041,0.0172,92,0.643,"92,143,93"
V1,MAD_2000_ALL,5,KMeans,4,0.5669,1690.9,0.7691,0.5703,0.003,0.028,49,0.35,"140,79,49,60"
V1,MAD_2000_ALL,5,KMeans,5,0.5399,1576.3,0.8629,0.5229,-0.0023,0.0247,25,0.179,"47,140,25,58,58"
V1,MAD_2000_ALL,5,KMeans,6,0.5016,1387.5,1.0185,0.4857,-0.0009,0.0312,22,0.157,"33,22,50,140,43,40"
V1,MAD_2000_ALL,5,KMeans,7,0.3137,1279.8,1.1002,0.3096,0.0117,0.0412,19,0.241,"79,45,43,19,61,41,40"
V1,MAD_2000_ALL,5,Ward,3,0.6181,1708.0,0.6368,0.6753,0.005,0.0149,80,0.571,"108,140,80"
V1,MAD_2000_ALL,5,Ward,4,0.5611,1568.8,0.7856,0.5715,-0.0023,0.0194,44,0.314,"80,140,64,44"
