gene_set,n_genes,protein_coding_only,n_pcs,cum_explained_var,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,min_cluster_size,max_cluster_size,size_balance,cluster_sizes
MAD_1000_PC,1000,True,15,0.6304,GMM,8,0.0967,33.2,2.181,-0.0034,25,64,0.391,"25,36,55,64,25,25,36,62"
MAD_1000_PC,1000,True,15,0.6304,Spectral,2,0.1541,69.4,2.1222,-0.0021,158,170,0.929,"170,158"
MAD_1000_PC,1000,True,15,0.6304,Spectral,3,0.1389,58.5,2.1043,-0.0044,89,138,0.645,"89,101,138"
MAD_1000_PC,1000,True,15,0.6304,Spectral,4,0.1237,49.8,1.9946,-0.0011,54,133,0.406,"61,80,133,54"
MAD_1000_PC,1000,True,15,0.6304,Spectral,5,0.1205,44.1,1.9231,-0.0001,38,99,0.384,"87,51,99,38,53"
MAD_1000_PC,1000,True,15,0.6304,Spectral,6,0.1172,38.4,2.0104,0.0012,33,73,0.452,"33,73,67,48,48,59"
MAD_1000_PC,1000,True,15,0.6304,Spectral,7,0.1115,36.0,2.0722,-0.0026,31,76,0.408,"54,54,76,31,47,31,35"
MAD_1000_PC,1000,True,15,0.6304,Spectral,8,0.1153,34.5,1.9194,-0.0018,27,53,0.509,"35,42,53,52,38,27,39,42"
MAD_1000_PC,1000,True,20,0.6718,KMeans,2,0.1563,70.2,2.0734,-0.0023,133,195,0.682,"133,195"
MAD_1000_PC,1000,True,20,0.6718,KMeans,3,0.1317,56.3,2.1858,-0.0043,89,136,0.654,"136,89,103"
MAD_1000_PC,1000,True,20,0.6718,KMeans,4,0.1164,47.6,2.1075,-0.0012,67,117,0.573,"77,117,67,67"
MAD_1000_PC,1000,True,20,0.6718,KMeans,5,0.1221,43.7,2.0353,0.0044,60,73,0.822,"73,60,63,66,66"
MAD_1000_PC,1000,True,20,0.6718,KMeans,6,0.1175,39.2,2.0847,-0.0008,29,72,0.403,"63,51,58,55,72,29"
MAD_1000_PC,1000,True,20,0.6718,KMeans,7,0.1116,35.5,2.0696,0.0013,32,57,0.561,"50,49,32,44,46,50,57"
MAD_1000_PC,1000,True,20,0.6718,KMeans,8,0.1066,33.1,2.0361,-0.0001,26,57,0.456,"50,26,31,53,57,37,42,32"
MAD_1000_PC,1000,True,20,0.6718,Ward,2,0.1221,50.0,2.4974,-0.0018,147,181,0.812,"147,181"
MAD_1000_PC,1000,True,20,0.6718,Ward,3,0.1045,44.9,2.2773,-0.0005,64,181,0.354,"181,83,64"
MAD_1000_PC,1000,True,20,0.6718,Ward,4,0.0985,41.6,2.353,-0.0031,64,97,0.66,"83,84,64,97"
MAD_1000_PC,1000,True,20,0.6718,Ward,5,0.0849,36.3,2.2379,-0.0021,33,97,0.34,"84,97,64,50,33"
MAD_1000_PC,1000,True,20,0.6718,Ward,6,0.0836,32.9,2.2322,-0.0025,33,97,0.34,"64,97,45,50,33,39"
MAD_1000_PC,1000,True,20,0.6718,Ward,7,0.0855,30.6,2.1943,-0.0007,22,97,0.227,"97,50,45,22,33,39,42"
MAD_1000_PC,1000,True,20,0.6718,Ward,8,0.0858,28.9,2.3335,-0.0009,22,55,0.4,"50,55,45,22,33,39,42,42"
MAD_1000_PC,1000,True,20,0.6718,GMM,2,0.1105,41.2,2.5907,0.0072,109,219,0.498,"109,219"
MAD_1000_PC,1000,True,20,0.6718,GMM,3,0.0948,41.9,2.5229,0.0008,88,141,0.624,"88,141,99"
MAD_1000_PC,1000,True,20,0.6718,GMM,4,0.0983,40.5,2.3366,-0.003,69,98,0.704,"69,98,79,82"
MAD_1000_PC,1000,True,20,0.6718,GMM,5,0.0968,36.6,2.267,-0.0039,53,73,0.726,"73,67,69,66,53"
MAD_1000_PC,1000,True,20,0.6718,GMM,7,0.1006,33.4,2.238,0.0012,20,61,0.328,"20,43,49,59,55,61,41"
MAD_1000_PC,1000,True,20,0.6718,Spectral,2,0.1396,54.2,2.1036,-0.0034,90,238,0.378,"90,238"
