gene_set,n_genes,protein_coding_only,n_pcs,cum_explained_var,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size,size_balance,cluster_sizes
MAD_2000_ALL,2000,False,30,0.8453,GMM,2,0.4974,439.2,0.806,141,187,0.754,"141,187"
MAD_2000_ALL,2000,False,30,0.8453,GMM,3,0.357,298.9,1.3755,79,141,0.56,"141,79,108"
MAD_2000_ALL,2000,False,30,0.8453,GMM,4,0.1949,226.0,1.8159,54,106,0.509,"81,54,106,87"
MAD_2000_ALL,2000,False,30,0.8453,Spectral,2,0.4974,439.2,0.806,141,187,0.754,"141,187"
MAD_2000_ALL,2000,False,30,0.8453,Spectral,3,0.3729,314.3,1.2803,85,141,0.603,"141,102,85"
MAD_2000_ALL,2000,False,30,0.8453,Spectral,4,0.2007,231.2,1.8031,56,102,0.549,"56,102,85,85"
MAD_2000_ALL,2000,False,30,0.8453,Spectral,5,0.1533,187.0,1.9825,50,85,0.588,"56,67,50,85,70"
MAD_2000_ALL,2000,False,30,0.8453,Spectral,6,0.1385,161.6,1.9336,21,85,0.247,"56,78,21,36,52,85"
MAD_2000_ALL,2000,False,30,0.8453,Spectral,7,0.1202,139.8,1.9973,19,80,0.237,"48,40,80,52,36,53,19"
MAD_2000_ALL,2000,False,30,0.8453,Spectral,8,0.1248,128.3,2.015,19,60,0.317,"48,30,19,53,60,45,33,40"
MAD_3000_ALL,3000,False,10,0.7444,KMeans,2,0.5195,466.4,0.7629,141,187,0.754,"141,187"
MAD_3000_ALL,3000,False,10,0.7444,KMeans,3,0.4211,370.3,1.0788,87,141,0.617,"100,141,87"
MAD_3000_ALL,3000,False,10,0.7444,KMeans,4,0.3612,281.0,1.3759,50,141,0.355,"141,75,62,50"
MAD_3000_ALL,3000,False,10,0.7444,KMeans,5,0.1999,240.8,1.6688,58,76,0.763,"60,76,58,65,69"
MAD_3000_ALL,3000,False,10,0.7444,KMeans,6,0.203,210.8,1.6024,31,76,0.408,"65,60,76,42,54,31"
MAD_3000_ALL,3000,False,10,0.7444,KMeans,7,0.1975,189.7,1.6437,23,75,0.307,"75,30,50,66,23,38,46"
MAD_3000_ALL,3000,False,10,0.7444,KMeans,8,0.1791,172.6,1.6976,23,62,0.371,"62,48,29,23,54,40,33,39"
MAD_3000_ALL,3000,False,10,0.7444,Ward,2,0.5195,466.4,0.7629,141,187,0.754,"187,141"
MAD_3000_ALL,3000,False,10,0.7444,Ward,3,0.4059,344.3,1.1235,59,141,0.418,"128,141,59"
MAD_3000_ALL,3000,False,10,0.7444,Ward,4,0.3487,270.5,1.398,47,141,0.333,"141,81,59,47"
MAD_3000_ALL,3000,False,10,0.7444,Ward,5,0.1812,228.9,1.7108,47,81,0.58,"81,75,59,47,66"
MAD_3000_ALL,3000,False,10,0.7444,Ward,6,0.1791,199.3,1.6453,23,75,0.307,"59,75,58,47,66,23"
MAD_3000_ALL,3000,False,10,0.7444,Ward,7,0.1676,176.6,1.7005,23,75,0.307,"75,66,58,47,35,23,24"
MAD_3000_ALL,3000,False,10,0.7444,Ward,8,0.151,159.6,1.7214,23,66,0.348,"66,35,58,47,47,23,24,28"
MAD_3000_ALL,3000,False,10,0.7444,GMM,2,0.5195,466.4,0.7629,141,187,0.754,"141,187"
MAD_3000_ALL,3000,False,10,0.7444,GMM,3,0.3432,274.1,1.5022,37,150,0.247,"37,141,150"
MAD_3000_ALL,3000,False,10,0.7444,GMM,4,0.1572,197.3,1.9851,36,151,0.238,"51,151,90,36"
MAD_3000_ALL,3000,False,10,0.7444,GMM,5,0.1447,155.0,2.0091,28,151,0.185,"81,36,151,28,32"
MAD_3000_ALL,3000,False,10,0.7444,GMM,6,0.0783,130.3,2.1752,17,121,0.14,"33,35,17,31,121,91"
MAD_3000_ALL,3000,False,10,0.7444,GMM,7,0.0867,123.5,2.5226,16,89,0.18,"16,42,36,77,37,31,89"
MAD_3000_ALL,3000,False,10,0.7444,Spectral,2,0.5195,466.4,0.7629,141,187,0.754,"141,187"
MAD_3000_ALL,3000,False,10,0.7444,Spectral,3,0.4183,368.2,1.0917,92,141,0.652,"92,141,95"
MAD_3000_ALL,3000,False,10,0.7444,Spectral,4,0.2509,277.3,1.5231,59,95,0.621,"82,59,95,92"
MAD_3000_ALL,3000,False,10,0.7444,Spectral,5,0.1983,229.7,1.6611,49,82,0.598,"59,67,49,82,71"
MAD_3000_ALL,3000,False,10,0.7444,Spectral,6,0.19,206.3,1.5923,25,83,0.301,"82,25,34,59,83,45"
MAD_3000_ALL,3000,False,10,0.7444,Spectral,7,0.1732,181.9,1.636,25,83,0.301,"67,37,37,45,34,83,25"
MAD_3000_ALL,3000,False,10,0.7444,Spectral,8,0.1731,163.0,1.569,20,86,0.233,"43,86,34,47,35,32,31,20"
MAD_3000_ALL,3000,False,20,0.7986,KMeans,2,0.4811,396.3,0.8438,141,187,0.754,"141,187"
MAD_3000_ALL,3000,False,20,0.7986,KMeans,3,0.3801,299.2,1.2127,92,141,0.652,"95,141,92"
MAD_3000_ALL,3000,False,20,0.7986,KMeans,4,0.322,223.1,1.5635,55,141,0.39,"141,55,62,70"
MAD_3000_ALL,3000,False,20,0.7986,KMeans,5,0.1633,187.3,1.9079,55,76,0.724,"70,76,62,55,65"
MAD_3000_ALL,3000,False,20,0.7986,KMeans,6,0.1644,161.5,1.8437,31,79,0.392,"31,62,56,79,60,40"
MAD_3000_ALL,3000,False,20,0.7986,KMeans,7,0.1578,143.2,1.8904,23,74,0.311,"23,74,39,51,45,67,29"
MAD_3000_ALL,3000,False,20,0.7986,KMeans,8,0.1439,128.8,1.939,22,56,0.393,"54,29,48,31,56,40,22,48"
MAD_3000_ALL,3000,False,20,0.7986,Ward,2,0.4811,396.3,0.8438,141,187,0.754,"187,141"
MAD_3000_ALL,3000,False,20,0.7986,Ward,3,0.368,281.4,1.2618,61,141,0.433,"126,141,61"
MAD_3000_ALL,3000,False,20,0.7986,Ward,4,0.3047,210.2,1.7657,61,141,0.433,"141,62,61,64"
MAD_3000_ALL,3000,False,20,0.7986,Ward,5,0.1378,173.7,2.1287,61,73,0.836,"62,64,61,68,73"
MAD_3000_ALL,3000,False,20,0.7986,Ward,6,0.1319,150.7,2.0021,24,73,0.329,"64,68,61,24,73,38"
MAD_3000_ALL,3000,False,20,0.7986,Ward,7,0.1206,132.2,2.09,24,73,0.329,"61,68,39,24,73,38,25"
MAD_3000_ALL,3000,False,20,0.7986,Ward,8,0.1253,119.4,2.0828,15,73,0.205,"68,73,39,46,15,38,25,24"
MAD_3000_ALL,3000,False,20,0.7986,GMM,2,0.4811,396.3,0.8438,141,187,0.754,"141,187"
MAD_3000_ALL,3000,False,20,0.7986,GMM,3,0.3432,260.6,1.4198,60,141,0.426,"127,141,60"
MAD_3000_ALL,3000,False,20,0.7986,GMM,4,0.1666,190.1,1.9644,60,127,0.472,"60,78,127,63"
MAD_3000_ALL,3000,False,20,0.7986,GMM,5,0.1524,149.2,2.0598,44,127,0.346,"127,44,60,47,50"
MAD_3000_ALL,3000,False,20,0.7986,GMM,6,0.1195,146.9,2.078,29,74,0.392,"41,69,29,72,74,43"
MAD_3000_ALL,3000,False,20,0.7986,GMM,7,0.1475,135.5,2.0228,18,79,0.228,"38,62,63,79,18,28,40"
MAD_3000_ALL,3000,False,20,0.7986,Spectral,2,0.4811,396.3,0.8438,141,187,0.754,"141,187"
MAD_3000_ALL,3000,False,20,0.7986,Spectral,3,0.3781,297.8,1.2222,93,141,0.66,"141,94,93"
MAD_3000_ALL,3000,False,20,0.7986,Spectral,4,0.2135,220.7,1.7331,57,94,0.606,"93,84,94,57"
MAD_3000_ALL,3000,False,20,0.7986,Spectral,5,0.1644,182.0,1.893,54,84,0.643,"57,69,64,54,84"
MAD_3000_ALL,3000,False,20,0.7986,Spectral,6,0.1556,159.0,1.8064,24,87,0.276,"33,87,86,55,24,43"
MAD_3000_ALL,3000,False,20,0.7986,Spectral,7,0.1385,138.9,1.8991,22,86,0.256,"22,86,56,42,43,46,33"
MAD_3000_ALL,3000,False,20,0.7986,Spectral,8,0.139,127.1,1.9363,21,61,0.344,"61,43,42,41,31,33,56,21"
MAD_3000_ALL,3000,False,30,0.8291,KMeans,2,0.463,365.4,0.8838,141,187,0.754,"141,187"
MAD_3000_ALL,3000,False,30,0.8291,KMeans,3,0.3618,270.0,1.2784,93,141,0.66,"93,141,94"
MAD_3000_ALL,3000,False,30,0.8291,KMeans,4,0.3036,200.0,1.6528,50,141,0.355,"72,141,65,50"
MAD_3000_ALL,3000,False,30,0.8291,KMeans,5,0.1474,166.6,2.0169,50,75,0.667,"62,70,75,50,71"
MAD_3000_ALL,3000,False,30,0.8291,KMeans,6,0.147,142.7,1.9756,32,77,0.416,"32,77,56,42,64,57"
MAD_3000_ALL,3000,False,30,0.8291,KMeans,7,0.1417,126.0,2.0099,23,78,0.295,"28,49,63,78,23,48,39"
MAD_3000_ALL,3000,False,30,0.8291,KMeans,8,0.1256,113.0,2.1066,20,53,0.377,"42,29,53,48,39,51,46,20"
MAD_3000_ALL,3000,False,30,0.8291,Ward,2,0.463,365.4,0.8838,141,187,0.754,"187,141"
MAD_3000_ALL,3000,False,30,0.8291,Ward,3,0.3498,259.6,1.3413,76,141,0.539,"111,141,76"
MAD_3000_ALL,3000,False,30,0.8291,Ward,4,0.2907,190.7,1.7585,51,141,0.362,"141,60,76,51"
MAD_3000_ALL,3000,False,30,0.8291,Ward,5,0.1248,155.5,2.2214,51,76,0.671,"60,65,76,51,76"
MAD_3000_ALL,3000,False,30,0.8291,Ward,6,0.1269,134.2,2.0451,29,76,0.382,"76,65,31,51,76,29"
MAD_3000_ALL,3000,False,30,0.8291,Ward,7,0.1089,116.9,2.2878,29,76,0.382,"33,65,43,51,76,29,31"
MAD_3000_ALL,3000,False,30,0.8291,Ward,8,0.1118,104.3,2.0986,4,76,0.053,"65,76,43,51,29,29,31,4"
MAD_3000_ALL,3000,False,30,0.8291,GMM,2,0.463,365.4,0.8838,141,187,0.754,"141,187"
MAD_3000_ALL,3000,False,30,0.8291,GMM,3,0.286,200.6,1.727,63,187,0.337,"63,187,78"
MAD_3000_ALL,3000,False,30,0.8291,GMM,4,0.1893,191.8,1.8711,58,109,0.532,"58,109,83,78"
MAD_3000_ALL,3000,False,30,0.8291,Spectral,2,0.463,365.4,0.8838,141,187,0.754,"141,187"
MAD_3000_ALL,3000,False,30,0.8291,Spectral,3,0.361,269.1,1.2867,86,141,0.61,"141,101,86"
MAD_3000_ALL,3000,False,30,0.8291,Spectral,4,0.1984,197.7,1.8266,52,101,0.515,"101,89,86,52"
MAD_3000_ALL,3000,False,30,0.8291,Spectral,5,0.1483,160.4,2.0183,52,89,0.584,"70,89,53,64,52"
MAD_3000_ALL,3000,False,30,0.8291,Spectral,6,0.1391,141.4,1.9752,29,89,0.326,"52,89,47,77,29,34"
MAD_3000_ALL,3000,False,30,0.8291,Spectral,7,0.1235,123.3,2.0441,29,77,0.377,"29,77,57,46,47,34,38"
MAD_3000_ALL,3000,False,30,0.8291,Spectral,8,0.1244,111.2,2.056,21,61,0.344,"40,61,21,45,53,31,29,48"
MAD_5000_ALL,5000,False,10,0.7315,KMeans,2,0.483,380.5,0.8423,141,187,0.754,"141,187"
MAD_5000_ALL,5000,False,10,0.7315,KMeans,3,0.4133,318.9,1.0717,92,141,0.652,"92,141,95"
MAD_5000_ALL,5000,False,10,0.7315,KMeans,4,0.352,245.8,1.2851,40,141,0.284,"83,141,64,40"
MAD_5000_ALL,5000,False,10,0.7315,KMeans,5,0.2043,210.0,1.5992,34,80,0.425,"34,66,80,75,73"
MAD_5000_ALL,5000,False,10,0.7315,KMeans,6,0.1987,182.8,1.6601,36,71,0.507,"70,55,38,58,71,36"
MAD_5000_ALL,5000,False,10,0.7315,KMeans,7,0.1906,164.6,1.7124,24,76,0.316,"76,54,30,46,33,65,24"
MAD_5000_ALL,5000,False,10,0.7315,KMeans,8,0.1803,150.8,1.7239,23,67,0.343,"36,48,30,38,23,53,67,33"
MAD_5000_ALL,5000,False,10,0.7315,Ward,2,0.483,380.5,0.8423,141,187,0.754,"187,141"
MAD_5000_ALL,5000,False,10,0.7315,Ward,3,0.3952,291.6,1.1212,58,141,0.411,"129,141,58"
MAD_5000_ALL,5000,False,10,0.7315,Ward,4,0.3458,234.4,1.2312,27,141,0.191,"141,102,58,27"
MAD_5000_ALL,5000,False,10,0.7315,Ward,5,0.1982,195.0,1.5539,27,106,0.255,"102,106,58,27,35"
MAD_5000_ALL,5000,False,10,0.7315,Ward,6,0.1632,171.0,1.8444,27,106,0.255,"58,106,57,27,35,45"
MAD_5000_ALL,5000,False,10,0.7315,Ward,7,0.1683,152.9,1.8141,26,106,0.245,"106,26,57,27,35,45,32"
MAD_5000_ALL,5000,False,10,0.7315,Ward,8,0.1514,140.9,1.815,25,81,0.309,"57,26,81,27,35,45,32,25"
MAD_5000_ALL,5000,False,10,0.7315,GMM,2,0.483,380.5,0.8423,141,187,0.754,"141,187"
MAD_5000_ALL,5000,False,10,0.7315,GMM,3,0.3245,223.5,1.5289,34,153,0.222,"141,153,34"
MAD_5000_ALL,5000,False,10,0.7315,GMM,4,0.1445,161.6,2.0006,34,153,0.222,"34,52,153,89"
MAD_5000_ALL,5000,False,10,0.7315,GMM,5,0.1476,154.8,2.2782,31,107,0.29,"107,91,34,65,31"
MAD_5000_ALL,5000,False,10,0.7315,GMM,6,0.1252,133.7,2.0389,22,93,0.237,"87,63,31,32,93,22"
MAD_5000_ALL,5000,False,10,0.7315,GMM,7,0.0929,118.1,2.0947,21,104,0.202,"29,21,56,104,30,32,56"
MAD_5000_ALL,5000,False,10,0.7315,Spectral,2,0.483,380.5,0.8423,141,187,0.754,"141,187"
MAD_5000_ALL,5000,False,10,0.7315,Spectral,3,0.4119,317.8,1.0765,93,141,0.66,"141,93,94"
MAD_5000_ALL,5000,False,10,0.7315,Spectral,4,0.2495,239.0,1.5541,70,94,0.745,"71,94,93,70"
MAD_5000_ALL,5000,False,10,0.7315,Spectral,5,0.1997,207.5,1.5925,35,90,0.389,"35,71,90,62,70"
MAD_5000_ALL,5000,False,10,0.7315,Spectral,6,0.185,180.4,1.6489,33,78,0.423,"71,34,42,70,78,33"
MAD_5000_ALL,5000,False,10,0.7315,Spectral,7,0.1721,159.5,1.701,33,78,0.423,"78,60,42,33,34,42,39"
MAD_5000_ALL,5000,False,10,0.7315,Spectral,8,0.1724,143.5,1.618,29,78,0.372,"78,42,38,45,29,34,29,33"
MAD_5000_ALL,5000,False,20,0.7868,KMeans,2,0.4461,327.0,0.9259,141,187,0.754,"141,187"
